id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
32085,YCOD,small_airport,Cordillo Downs Airport,-26.74530029,140.63800048828100,125,OC,AU,AU-SA,Cordillo Downs,0,YCOD,ODL,,,,,50,2008-06-26T14:52:34+00:00
30855,AU-CSD,small_airport,Cresswell Downs Airport,-17.94799995,135.91600036621100,,OC,AU,AU-NT,Cresswell Downs,0,,CSD,,,,,50,2008-06-13T14:30:04+00:00
32722,YDEK,small_airport,Denmark Airport,-34.94499969,117.39700317382800,230,OC,AU,AU-WA,Denmark,0,YDEK,,,,,,50,2008-06-26T14:52:34+00:00
27525,YDOR,small_airport,Dorunda Airport,-16.5537,141.8238,58,OC,AU,AU-QLD,Dorunda Outstation,0,YDOR,DRD,,,,,50,2014-09-05T01:02:30+00:00
30909,YDDF,small_airport,Drumduff Airport,-16.0529995,143.0119934,,OC,AU,AU-QLD,Drumduff,0,YDDF,DFP,,,,,50,2009-10-24T10:13:29+00:00
30924,YDLK,small_airport,Dulkaninna Airport,-29.01329994,138.4810028076170,,OC,AU,AU-SA,Dulkaninna,0,YDLK,DLK,,,,,50,2008-06-26T14:52:34+00:00
30996,YEIN,small_airport,Einasleigh Airport,-18.50329971,144.0939941,,OC,AU,AU-QLD,Einasleigh,0,YEIN,EIH,,,,,50,2009-10-24T10:14:29+00:00
27545,YELL,small_airport,Elliott Airport,-17.52742958,133.52989196777300,,OC,AU,AU-NT,Elliott,0,YELL,,,,,,50,2008-08-01T10:44:40+00:00
31005,YEEB,small_airport,Eneabba Airport,-29.83250046,115.24600219726600,,OC,AU,AU-WA,Eneabba,0,YEEB,ENB,,,,,50,2008-06-26T14:52:34+00:00
27551,YENO,heliport,Enoggera Barracks,-27.42352848,152.9834282,145,OC,AU,AU-QLD,Enoggera,0,YENO,,,,,,50,2011-12-29T09:50:59+00:00
31021,YEDA,small_airport,Etadunna Airport,-28.74080086,138.58900451660200,,OC,AU,AU-SA,Etadunna,0,YEDA,ETD,,,,,50,2008-06-26T14:52:34+00:00
31025,YEVA,small_airport,Eva Downs Airport,-18.00099945,134.8630066,,OC,AU,AU-NT,Eva Downs,0,YEVA,EVD,,,,,50,2009-10-24T10:05:06+00:00
31129,YFNE,small_airport,Finke Airport,-25.59469986,134.5829926,,OC,AU,AU-NT,Finke,0,YFNE,FIK,,,,,50,2009-10-23T17:57:26+00:00
27570,YFSK,small_airport,Fiskville Airport,-37.67811432,144.2207909,,OC,AU,AU-VIC,Fiskville,0,YFSK,,,,,,50,2010-06-25T10:42:45+00:00
27568,YFRK,small_airport,Frankland Airport,-34.42300034,117.0260009765630,800,OC,AU,AU-WA,Frankland River Grazing co,0,YFRK,,,,,,50,2009-04-19T22:55:13+00:00
38372,YGSC,small_airport,Gascoyne Junction Airport,-25.0546,115.2026,499,OC,AU,AU-WA,Gascoyne Junction,0,YGSC,GSC,,,,,50,2014-09-28T22:35:57+00:00
27577,YGAT,closed,Gatton Campus Airport,-27.56040607,152.3404598,,OC,AU,AU-QLD,Gatton,0,YGAT,,,,,,50,2010-01-28T08:39:55+00:00
28057,YWMD,closed,West Maitland Airport,-32.75669861,151.5299988,,OC,AU,AU-NSW,Gillieston Heights,0,YWMD,,,,,,50,2011-12-12T11:10:38+00:00
31519,YGDN,small_airport,Gordon Downs Airport,-18.67810059,128.5919952392580,800,OC,AU,AU-WA,Gordon Downs,0,YGDN,GDD,,,,,50,2008-06-26T14:52:34+00:00
29903,YXGS,heliport,Gosford Hospital Helipad,-33.421626,151.339894,110,OC,AU,AU-NSW,Gosford,0,YXGS,,YXGS,,,,50,2013-09-21T05:50:53+00:00
38368,YGNF,small_airport,Grenfell Airport,-34,148.1329956,1080,OC,AU,AU-NSW,Grenfell,0,YGNF,GFE,,,,,50,2013-07-20T13:32:08+00:00
38205,AU-0006,small_airport,Harrismith Airport,-32.94184494,117.865448,900,OC,AU,AU-WA,Harrismith,0,,,A05,,,,50,2011-07-18T13:43:48+00:00
27618,YHIL,small_airport,Hillside Airport,-21.7244,119.3922,935,OC,AU,AU-WA,Hillside,0,YHIL,HLL,,,,,50,2014-11-16T05:04:54+00:00
