Country,Code,Year,Value
Senegal,SEN,2020,2786.9998
Serbia,SRB,2020,3519
Seychelles,SYC,2020,3181.5479
Sierra Leone,SLE,2020,2312.999
Slovakia,SVK,2020,3010.9995
Slovenia,SVN,2020,3127.988
Small Island Developing States (FAO),2020,2710,
Solomon Islands,SLB,2020,2351.973
South Africa,ZAF,2020,2817
South America,2020,3078.6125,
South America (FAO),2020,3079,
South Korea,KOR,2020,3378.0002
South Sudan,SSD,2020,2376.0015
South-eastern Asia (FAO),2020,2896,
Southern Africa (FAO),2020,2760,
Southern Asia (FAO),2020,2564,
Southern Europe (FAO),2020,3504,
Spain,ESP,2020,3377
Sri Lanka,LKA,2020,2846.0005
Sudan,SDN,2020,2621.0002
Suriname,SUR,2020,2674.0088
Sweden,SWE,2020,3265.0005
Switzerland,CHE,2020,3452.0005
Syria,SYR,2020,2455.9998
Taiwan,TWN,2020,2952.0002
Tajikistan,TJK,2020,2759.9998
Tanzania,TZA,2020,2373
Thailand,THA,2020,2856.9998
Togo,TGO,2020,2496.999
Trinidad and Tobago,TTO,2020,2953.0156
Tunisia,TUN,2020,3468
Turkey,TUR,2020,3830
Turkmenistan,TKM,2020,2866.999
Uganda,UGA,2020,2159
Ukraine,UKR,2020,2926.0005
United Arab Emirates,ARE,2020,3300.0015
United Kingdom,GBR,2020,3373.9998
United States,USA,2020,3891.9998
Upper-middle-income countries,2020,3213.1875,
Uruguay,URY,2020,3261.003
Uzbekistan,UZB,2020,3245.9998
Vanuatu,VUT,2020,2801.964
Venezuela,VEN,2020,2299.9993
Vietnam,VNM,2020,3005
Western Africa (FAO),2020,2631,
Western Asia (FAO),2020,3137,
Western Europe (FAO),2020,3616,
World,OWID_WRL,2020,2940.4165
Yemen,YEM,2020,2131.0005
Zambia,ZMB,2020,2223.0005
Zimbabwe,ZWE,2020,2014.0009
