id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
27937,YRWH,small_airport,Ravensworth Airport,-34.63330078,144.2830047607420,,OC,AU,AU-NSW,,0,YRWH,,,,,,50,2008-06-26T14:52:34+00:00
27954,YSHW,small_airport,Holsworthy (Military) Airport,-33.99499893,150.95199584960900,76,OC,AU,AU-NSW,,0,YSHW,,,,,,50,2008-08-01T07:49:33+00:00
27977,YTBG,small_airport,Talbingo Airport,-35.58330154,148.2830047607420,,OC,AU,AU-NSW,,0,YTBG,,,,,,50,2008-06-26T14:52:34+00:00
27985,YTGI,small_airport,Trangie Airport,-31.9666996,148,,OC,AU,AU-NSW,,0,YTGI,,,,,,50,2008-06-26T14:52:34+00:00
27986,YTGV,small_airport,The Grove Airport,-34.68600082,148.1040039,,OC,AU,AU-NSW,,0,YTGV,,,,,,50,2008-06-13T14:30:04+00:00
27995,YTLL,small_airport,Tullamore Airport,-32.61669922,147.60000610351600,,OC,AU,AU-NSW,,0,YTLL,,,,,,50,2008-06-26T14:52:34+00:00
28011,YTWN,small_airport,Tooraweenah Airport,-31.44169998,148.89999389648400,421,OC,AU,AU-NSW,,0,YTWN,,,,,,50,2008-08-01T07:51:21+00:00
28026,YWAG,small_airport,Wanaaring Airport,-29.7166996,144.16700744628900,,OC,AU,AU-NSW,,0,YWAG,,,,,,50,2008-06-26T14:52:34+00:00
28032,YWBH,small_airport,Wallabadah Airport,-31.5333004,150.86700439453100,,OC,AU,AU-NSW,,0,YWBH,,,,,,50,2008-06-26T14:52:34+00:00
28034,YWBN,small_airport,Wedderburn Airport,-34.18,150.808333,850,OC,AU,AU-NSW,,0,YWBN,,,,https://en.wikipedia.org/wiki/Wedderburn_Airport,,50,2018-02-21T05:12:53+00:00
28042,YWEL,small_airport,Wellington Airport,-32.46670151,148.98300170898400,426,OC,AU,AU-NSW,,0,YWEL,,,,,,50,2008-08-01T07:52:07+00:00
28046,YWHC,small_airport,White Cliffs Airport,-30.85330009,143.07200622558600,162,OC,AU,AU-NSW,,0,YWHC,,,,,,50,2008-08-01T07:52:14+00:00
28049,YWIO,small_airport,Wilton Airport,-34.23329926,150.66700744628900,,OC,AU,AU-NSW,,0,YWIO,,,,,,50,2008-06-26T14:52:34+00:00
28051,YWJS,small_airport,Wee Jasper Airport,-35.26169968,148.66700744628900,,OC,AU,AU-NSW,,0,YWJS,,,,,,50,2008-08-01T07:52:26+00:00
28055,YWLE,closed,Williamsdale Airport,-35.55939252,149.1301775,2345,OC,AU,AU-NSW,,0,YWLE,,,http://members.pcug.org.au/~mikec/srcg/docs/airfield.pdf,,,50,2011-07-18T11:09:13+00:00
28058,YWMG,small_airport,Weilmoringle Airport,-29.23329926,146.93299865722700,,OC,AU,AU-NSW,,0,YWMG,,,,,,50,2008-06-26T14:52:34+00:00
28080,YWWA,small_airport,Wee Waa Airport,-30.25830078,149.4080047607420,190,OC,AU,AU-NSW,,0,YWWA,WEW,,,,,50,2008-08-01T07:53:28+00:00
28089,YYAS,small_airport,Yass Airport,-34.83000183,149.04200744628900,,OC,AU,AU-NSW,,0,YYAS,,,,,,50,2008-08-01T07:53:41+00:00
29644,YADI,small_airport,Adaminaby Airport,-35.99779892,148.79600524902300,3346,OC,AU,AU-NSW,,0,YADI,,,,,,50,2008-08-01T07:34:01+00:00
29680,YASS,small_airport,Bakblok Airport,-34.88669968,149.01499938964800,1624,OC,AU,AU-NSW,,0,YASS,,,,,,50,2008-08-01T07:34:29+00:00
29717,YBMO,small_airport,Bombala Airport,-36.90499878,149.1820068,2415,OC,AU,AU-NSW,,0,YBMO,,,,,,50,2015-10-25T15:06:54+00:00
29754,YCWW,small_airport,Canowindra Airport,-33.5428009,148.66299438476600,1073,OC,AU,AU-NSW,,0,YCWW,,,,,,50,2008-08-01T07:38:06+00:00
29762,YCSI,small_airport,Cassilis Rotherw Airport,-32.00220108,149.96099853515600,1545,OC,AU,AU-NSW,,0,YCSI,,,,,,50,2008-08-01T07:37:34+00:00
29794,YWDR,closed,Winderadeen ALA,-34.9389,149.410004,2274,OC,AU,AU-NSW,,0,YWDR,,,,,,50,2016-06-14T02:22:45+00:00
29805,YCNA,small_airport,Corona Station Airport,-31.29080009,141.45199584960900,748,OC,AU,AU-NSW,,0,YCNA,,,,,,50,2008-08-01T07:37:06+00:00
29824,YDEG,small_airport,Delegate Airport,-37.06140137,148.94200134277300,2546,OC,AU,AU-NSW,,0,YDEG,,,,,,50,2008-08-01T07:38:17+00:00
29835,YDNR,small_airport,Dunmore Manila Airport,-30.65810013,150.875,1391,OC,AU,AU-NSW,,0,YDNR,,,,,,50,2008-08-01T07:38:40+00:00
29844,YEES,small_airport,Elderslie Airport,-32.59970093,151.33999633789100,112,OC,AU,AU-NSW,,0,YEES,,,,,,50,2008-08-01T07:39:13+00:00
29866,YFDN,small_airport,Federation Hsd Airport,-35.01169968,147.37399291992200,709,OC,AU,AU-NSW,,0,YFDN,,,,,,50,2008-08-01T07:39:55+00:00
29942,YHCT,small_airport,Heathcote Emergency Airport,-31.24029922,151.4320068359380,3537,OC,AU,AU-NSW,,0,YHCT,,,,,,50,2008-08-01T07:41:06+00:00
30022,YKEL,small_airport,Kelvin Station Airport,-30.65500069,151.63800048828100,3383,OC,AU,AU-NSW,,0,YKEL,,,,,,50,2008-08-01T07:42:20+00:00
30230,YOLY,small_airport,Oxley Station Airport,-31.01329994,147.71099853515600,518,OC,AU,AU-NSW,,0,YOLY,,,,,,50,2008-08-01T07:47:10+00:00
