Airport Code,AirportName,CityName,CountryName,CountryCode,Latitude,Longitude,World Area Code,,,
SQC,Southern Cross,Southern Cross,Australia,AU,-31.216667,119.316667,802,,,
CDA,Cooinda,Cooinda,Australia,AU,-12.9,132.516667,802,,,
LCN,Balcanoona,Balcanoona,Australia,AU,-30.533333,139.316667,802,,,
CUQ,Coen,Coen,Australia,AU,-13.783333,143.116667,802,,,
JUN,Jundah,Jundah,Australia,AU,-24.8,143.033333,802,,,
RVT,Ravensthorpe,Ravensthorpe,Australia,AU,45.983333,16.483333,802,,,
NGA,Young,Young,Australia,AU,-34.25,148.25,802,,,
MNE,Mungeranie,Mungeranie,Australia,AU,-28.016667,138.666667,802,,,
BWT,Burnie Wynyard,Burnie,Australia,AU,-41.0,145.733333,802,,,
WPK,Wrotham Park,Wrotham Park,Australia,AU,-16.633333,144.0,802,,,
RBS,Orbost,Orbost,Australia,AU,-37.7,148.5,802,,,
SWC,Stawell,Stawell,Australia,AU,-37.066667,142.766667,802,,,
GFN,Grafton,Grafton,Australia,AU,-29.666667,153.0,802,,,
GOV,Nhulunbuy,Gove,Australia,AU,-12.166667,136.675,802,,,
SNB,Snake Bay,Snake Bay,Australia,AU,-11.333333,130.75,802,,,
MWB,Morawa,Morawa,Australia,AU,-29.204167000000000,116.0225,802,,,
ODR,Ord River,Ord River,Australia,AU,-17.35,128.9,802,,,
SRN,Strahan,Strahan,Australia,AU,-42.15,145.3,802,,,
MHC,Macmahon Camp 4,Macmahon Camp 4,Australia,AU,-15.116667,-73.75,802,,,
HLL,Hillside,Hillside,Australia,AU,-17.0,128.008333,802,,,
DFP,Drumduff,Drumduff,Australia,AU,-16.0,143.033333,802,,,
OAG,Springhill,Orange,Australia,AU,-33.383611,149.133611,802,,,
KDS,Kamaran Downs,Kamaran Downs,Australia,AU,-24.333333,139.166667,802,,,
MRG,Mareeba,Mareeba,Australia,AU,-17.0,145.433333,802,,,
MET,Moreton,Moreton,Australia,AU,-12.75,142.766667,802,,,
AVG,Auvergne,Auvergne,Australia,AU,-15.75,129.916667,802,,,
NPP,Napperby,Napperby,Australia,AU,-22.633333,132.833333,802,,,
MUQ,Muccan,Muccan,Australia,AU,-20.633333,120.033333,802,,,
PTI,Port Douglas,Port Douglas,Australia,AU,-16.483333,145.45,802,,,
LEL,Lake Evella,Lake Evella,Australia,AU,-12.216667,136.25,802,,,
TWN,Tewantin,Tewantin,Australia,AU,-26.383333,153.033333,802,,,
AAB,Arrabury,Arrabury,Australia,AU,-26.75,141.0,802,,,
MYO,Myroodah,Myroodah,Australia,AU,-18.2,124.2,802,,,
BTD,Brunette Downs,Brunette Downs,Australia,AU,-18.633333,135.933333,802,,,
WGZ,Off Line Point,Manly,Australia,AU,-25.566667,146.833333,802,,,
AWN,Alton Downs,Alton Downs,Australia,AU,-26.483333,139.316667,802,,,
EPR,Esperance,Esperance,Australia,AU,-33.683333,121.816667,802,,,
LFP,Lakefield,Lakefield,Australia,AU,-14.916667,144.333333,802,,,
BEO,Belmont,Newcastle,Australia,AU,-33.033333,151.666667,802,,,
ONS,Onslow,Onslow,Australia,AU,-21.666667,115.1,802,,,
TEF,Telfer,Telfer,Australia,AU,-23.083333,115.683333,802,,,
ETD,Etadunna,Etadunna,Australia,AU,-28.716667,138.633333,802,,,
MOV,Moranbah,Moranbah,Australia,AU,-22.116667,149.533333,802,,,
XHX,Adelaide Keswick Rail,Adelaide,Australia,AU,-33.1375,136.303056,802,,,
OXY,Morney,Morney,Australia,AU,-25.366667,141.466667,802,,,
RRV,Robinson River,Robinson River,Australia,AU,-16.75,136.916667,802,,,
NRA,Narrandera,Narrandera,Australia,AU,-34.7,146.516667,802,,,
BHS,Raglan,Bathurst,Australia,AU,-33.416667,149.65,802,,,
MRZ,Moree,Moree,Australia,AU,-29.5,149.833333,802,,,
ADL,Adelaide International Airport,Adelaide,Australia,AU,-34.945,138.530556,802,,,
AXC,Aramac,Aramac,Australia,AU,-23.083333,145.25,802,,,
ARM,Armidale,Armidale,Australia,AU,-30.533333,151.616667,802,,,
CMQ,Clermont,Clermont,Australia,AU,-22.866667,147.5,802,,,
XRH,Richmond AFB,Richmond,Australia,AU,48.166667,-65.833333,802,,,
BQL,Boulia,Boulia,Australia,AU,-22.966667,139.966667,802,,,
WKB,Warracknabeal,Warracknabeal,Australia,AU,-36.333333,142.25,802,,,
MGV,Margaret River,Margaret River Station,Australia,AU,-18.616667,126.883333,802,,,
KRD,Kurundi,Kurundi,Australia,AU,-20.5,134.633333,802,,,
WOL,Wollongong,Wollongong,Australia,AU,-34.5625,150.788056,802,,,
LER,Leinster,Leinster,Australia,AU,-27.833333,120.616667,802,,,
ENB,Eneabba West,Eneabba West,Australia,AU,-30.083333,114.983333,802,,,
TAQ,Tarcoola,Tarcoola,Australia,AU,-33.433333,142.583333,802,,,
BSJ,Bairnsdale,Bairnsdale,Australia,AU,-37.883333,147.566667,802,,,
OKR,Yorke Island,Yorke Island,Australia,AU,-9.733333,143.416667,802,,,
TYP,Tobermorey,Tobermorey,Australia,AU,-22.283333,137.916667,802,,,
PPP,Whitsunday Coast,Proserpine,Australia,AU,-20.483333,148.55,802,,,
SYU,Warraber Island,Sue Island,Australia,AU,-10.516667,142.366667,802,,,
PBY,Hamilton/Proserpine,Peppers Palm Bay,Australia,AU,-35.5,148.733333,802,,,
HTU,Hopetoun,Hopetoun,Australia,AU,-35.716667,142.35,802,,,
UMR,Woomera,Woomera,Australia,AU,-31.166667,136.833333,802,,,
BHT,Brighton Downs,Brighton Downs,Australia,AU,-23.5,141.633333,802,,,
MLV,Merluna,Merluna,Australia,AU,-13.066667,142.45,802,,,
WDI,Wondai,Wondai,Australia,AU,-26.316667,151.866667,802,,,
MIY,Mittiebah,Mittiebah,Australia,AU,-18.5,136.266667,802,,,
FIK,Finke,Finke,Australia,AU,-25.583333,134.6,802,,,
BIP,Bulimba,Bulimba,Australia,AU,-16.15,143.75,802,,,
CED,Ceduna,Ceduna,Australia,AU,-32.133333,133.683333,802,,,
RCN,American River,American River,Australia,AU,-35.783333,137.783333,802,,,
BCI,Barcaldine,Barcaldine,Australia,AU,-23.666667,145.333333,802,,,
CFP,Carpentaria Downs,Carpentaria Downs,Australia,AU,-18.783333,144.35,802,,,
TEM,Temora,Temora,Australia,AU,-34.433333,147.533333,802,,,
CKI,Croker Island,Croker Island,Australia,AU,-11.083333,132.5,802,,,
JAD,Jandakot,Perth,Australia,AU,-32.0975,115.881111,802,,,
LYT,Lady Elliot Island,Lady Elliot Island,Australia,AU,-24.116667,152.7,802,,,
RTP,Rutland Plains,Rutland Plains,Australia,AU,-15.6,141.833333,802,,,
CQP,Cape Flattery,Cape Flattery,Australia,AU,-18.2,147.5,802,,,
PUG,Port Augusta,Port Augusta,Australia,AU,-32.540278,137.716667,802,,,
MFP,Manners Creek,Manners Creek,Australia,AU,-22.1,137.983333,802,,,
CMA,Cunnamulla,Cunnamulla,Australia,AU,-28.033333,145.616667,802,,,
ORS,Waterport,Orpheus Island Resort,Australia,AU,-18.633333,146.483333,802,,,
KAH,City Heliport,Melbourne,Australia,AU,-37.716667,145.0,802,,,
HRN,Heliport,Heron Island,Australia,AU,-23.433333,151.916667,802,,,
PTE,Port Stephens,Port Stephens,Australia,AU,-32.75,153.8,802,,,
RCM,Richmond,Richmond,Australia,AU,-20.716944,143.116667,802,,,
CES,Cessnock,Cessnock,Australia,AU,-32.083333,151.083333,61,,,
HCQ,Halls Creek,Halls Creek,Australia,AU,-18.233333,127.666667,802,,,
BLN,Benalla,Benalla,Australia,AU,-36.55,145.983333,802,,,
SRR,Dunwich,Stradbroke Island,Australia,AU,47.266667,10.783333,802,,,
TBL,Tableland,Tableland,Australia,AU,10.266667,-61.266667,802,,,
KBB,Kirkimbie,Kirkimbie,Australia,AU,-17.766667000000000,129.216667,802,,,
NTL,Williamtown,Newcastle,Australia,AU,-32.795,151.834444,802,,,
RSE,Rose Bay,Sydney,Australia,AU,-33.866667,151.266667,802,,,
SNH,Stanthorpe,Stanthorpe,Australia,AU,-28.633333,151.966667,802,,,
CNJ,Cloncurry,Cloncurry,Australia,AU,-20.668611,140.504444,802,,,
HLV,Helenvale,Helenvale,Australia,AU,-15.683333,145.2,802,,,
EKD,Elkedra,Elkedra,Australia,AU,-21.033333,135.25,802,,,
MMM,Middlemount,Middlemount,Australia,AU,-22.8025,148.704722,802,,,
STH,Strathmore,Strathmore,Australia,AU,-17.833333,142.533333,802,,,
WSY,Whitsunday Airstrip,Airlie Beach,Australia,AU,-20.283333,148.783333,802,,,
MNQ,Monto,Monto,Australia,AU,-24.883333,151.1,802,,,
MGT,Milingimbi,Milingimbi,Australia,AU,-12.1,134.9,802,,,
WWY,West Wyalong,West Wyalong,Australia,AU,-33.933333,147.25,802,,,
OBA,Oban,Oban,Australia,AU,-21.233333,139.033333,802,,,
MNV,Mountain Valley,Mountain Valley,Australia,AU,-14.116667,133.833333,802,,,
ELC,Elcho Island,Elcho Island,Australia,AU,-12.016667,135.566667,802,,,
MBH,Maryborough,Maryborough,Australia,AU,-25.516667000000000,152.716667,802,,,
BQB,Bussellton,Bussellton,Australia,AU,-33.6925,115.395278,802,,,
CRJ,Coorabie,Coorabie,Australia,AU,-31.9,132.3,802,,,
HUB,Humbert River,Humbert River,Australia,AU,-16.483333,130.633333,802,,,
CVQ,Carnarvon,Carnarvon,Australia,AU,-24.883333,113.666667,802,,,
CXQ,Christmas Creek,Christmas Creek,Australia,AU,-18.916667,125.916667,802,,,
ZBO,Bowen,Bowen,Australia,AU,-20.016667,148.216667,802,,,
OOL,Gold Coast,Gold Coast,Australia,AU,-28.181111,153.5,802,,,
TDR,Theodore,Theodore,Australia,AU,51.433333,-1.916667,802,,,
KTA,Karratha,Karratha,Australia,AU,-20.716667,116.766667,802,,,
BWQ,Brewarrina,Brewarrina,Australia,AU,-29.966667,146.816667,802,,,
VCD,Victoria River Downs,Victoria River Downs,Australia,AU,-16.405,131.003333,802,,,
CTL,Charleville,Charleville,Australia,AU,-26.416667,146.266667,802,,,
HSM,Horsham,Horsham,Australia,AU,-36.5,141.841667,802,,,
IDK,Indulkana,Indulkana,Australia,AU,-26.966667,133.325,802,,,
MXU,Mullewa,Mullewa,Australia,AU,-28.55,115.516667,802,,,
TWP,Torwood,Torwood,Australia,AU,-26.583333,147.55,802,,,
KNI,Katanning,Katanning,Australia,AU,-33.7,117.55,802,,,
CDU,Camden,Camden,Australia,AU,-34.040278,150.687222,61,,,
FIZ,Fitzroy Crossing,Fitzroy Crossing,Australia,AU,-18.166667,125.55,802,,,
LNH,Lake Nash,Lake Nash,Australia,AU,-21.0,137.916667,802,,,
PDN,Parndana,Parndana,Australia,AU,-35.8,137.216667,802,,,
AYD,Alroy Downs,Alroy Downs,Australia,AU,-19.3,135.95,802,,,
KNX,Kununurra,Kununurra,Australia,AU,-15.833333,128.75,802,,,
MCV,Mcarthur River,Mcarthur River,Australia,AU,-16.466667,136.083333,802,,,
ISI,Isisford,Isisford,Australia,AU,-24.2,144.416667,802,,,
MIM,Merimbula,Merimbula,Australia,AU,-36.916667,149.883333,802,,,
AUD,Augustus Downs,Augustus Downs,Australia,AU,-18.666667,139.933333,802,,,
LTB,Latrobe,Latrobe,Australia,AU,-41.233333,146.4,802,,,
PHJ,Port Hunter,Port Hunter,Australia,AU,-32.916667,151.766667,802,,,
KYF,Yeelirrie,Yeelirrie,Australia,AU,-27.277778,120.075,802,,,
SRM,Sandringham,Sandringham,Australia,AU,-24.05,139.066667,802,,,
CFH,Clifton Hills,Clifton Hills,Australia,AU,-26.516667000000000,139.45,802,,,
DKV,Docker River,Docker River,Australia,AU,-24.866667,129.116667,802,,,
KFG,Kalkurung,Kalkurung,Australia,AU,-17.433333,130.816667,802,,,
NAC,Naracoorte,Naracoorte,Australia,AU,-36.966667,140.583333,802,,,
BYX,Baniyala,Baniyala,Australia,AU,-13.2,136.233333,802,,,
EXM,Exmouth Gulf,Exmouth Gulf,Australia,AU,-22.383333,114.116667,802,,,
RSB,Roseberth,Roseberth,Australia,AU,-25.783333,139.616667,802,,,
DBO,Dubbo,Dubbo,Australia,AU,-32.217222,148.574722,802,,,
UBB,Mabuiag Island,Mabuiag Island,Australia,AU,-9.95,142.183333,802,,,
TBK,Timber Creek,Timber Creek,Australia,AU,-44.766667,169.1,802,,,
MGB,Mount Gambier,Mount Gambier,Australia,AU,-37.745556,140.785278,802,,,
GLI,Glen Innes,Glen Innes,Australia,AU,-29.683333,151.7,802,,,
RMK,Renmark,Renmark,Australia,AU,-34.2,140.683333,802,,,
MVU,Musgrave,Musgrave,Australia,AU,-14.166667,143.683333,802,,,
GVP,Greenvale,Greenvale,Australia,AU,-15.783333,144.616667,802,,,
PMK,Palm Island,Palm Island,Australia,AU,-18.083333,146.683333,802,,,
WGA,Forrest Hill,Wagga Wagga,Australia,AU,-35.166667,147.466667,802,,,
RAM,Ramingining,Ramingining,Australia,AU,-12.0,134.816667,802,,,
NSO,Scone,Scone,Australia,AU,-32.166667,150.916667,802,,,
HLS,St Helens,St Helens,Australia,AU,-41.0,148.175,802,,,
PKE,Parkes,Parkes,Australia,AU,-33.133333,148.233333,802,,,
NLF,Darnley Island,Darnley Island,Australia,AU,-9.566667,143.75,802,,,
LNO,Leonora,Leonora,Australia,AU,-28.883333,121.3,802,,,
ZBL,Biloela,Biloela,Australia,AU,-24.4,150.5,802,,,
WIO,Wilcannia,Wilcannia,Australia,AU,-31.566667,143.383333,802,,,
OLP,Olympic Dam,Olympic Dam,Australia,AU,-30.485,136.876667,802,,,
STF,Stephen Island,Stephen Island,Australia,AU,-9.5,143.566667,802,,,
MVH,Macksville,Macksville,Australia,AU,-30.716667,152.916667,802,,,
WRW,Warrawagine,Warrawagine,Australia,AU,-20.966667,120.7,802,,,
GTS,Granites,Granites,Australia,AU,-26.966667,133.616667,802,,,
GGD,Gregory Downs,Gregory Downs,Australia,AU,-18.7,139.25,802,,,
CCL,Chinchilla,Chinchilla,Australia,AU,-26.783333,150.616667,802,,,
KPS,Kempsey,Kempsey,Australia,AU,31.066667,152.766667,802,,,
WEW,Wee Waa,Wee Waa,Australia,AU,-30.233333,149.433333,802,,,
WND,Windarra,Windarra,Australia,AU,-28.266667000000000,121.833333,802,,,
BXF,Belburn,Belburn,Australia,AU,64.233333,12.5,802,,,
FSL,Fossil Downs,Fossil Downs,Australia,AU,-18.2,125.75,802,,,
SHT,Shepparton,Shepparton,Australia,AU,-36.433333,145.4,802,,,
YLG,Yalgoo,Yalgoo,Australia,AU,-28.35,116.666667,802,,,
EIH,Einasleigh,Einasleigh,Australia,AU,-18.5,144.1,802,,,
XCO,Colac,Colac,Australia,AU,-38.333333,143.583333,802,,,
BOX,Borroloola,Borroloola,Australia,AU,-16.083333,136.3,802,,,
AGW,Agnew,Agnew,Australia,AU,-12.15,142.15,802,,,
JCK,Julia Creek,Julia Creek,Australia,AU,-20.583333,141.7,802,,,
ONR,Monkira,Monkira,Australia,AU,-24.816667,140.533333,802,,,
MBF,Mount Buffalo,Mount Buffalo,Australia,AU,-22.583333,149.466667,802,,,
SSP,Silver Plains,Silver Plains,Australia,AU,-13.983333,143.55,802,,,
LDW,Lansdowne,Lansdowne,Australia,AU,-17.583333,126.833333,802,,,
MRT,Moroak,Moroak,Australia,AU,-14.816667,133.7,802,,,
OPI,Oenpelli,Oenpelli,Australia,AU,-12.333333,133.083333,802,,,
HAP,Long Island,Long Island,Australia,AU,-19.166667,147.666667,802,,,
PLO,Port Lincoln,Port Lincoln,Australia,AU,-34.6,135.883333,802,,,
PTJ,Portland,Portland,Australia,AU,-38.383333,141.633333,802,,,
XMY,Yam Island,Yam Island,Australia,AU,-10.483333,142.45,802,,,
MKV,Mt Cavenagh,Mt Cavenagh,Australia,AU,-25.966667,133.2,802,,,
KYI,Yalata Mission,Yalata Mission,Australia,AU,-31.483333,131.866667,802,,,
LDH,Lord Howe Island,Lord Howe Island,Australia,AU,-31.516667000000000,159.05,802,,,
SWZ,Sydney West,Sydney,Australia,AU,-33.883333,150.716667,802,,,
HPE,Hope Vale,Hope Vale,Australia,AU,-14.666667,144.916667,802,,,
LHG,Lightning Ridge,Lightning Ridge,Australia,AU,-29.4,147.966667,802,,,
INM,Innamincka,Innamincka,Australia,AU,-27.833333,140.833333,802,,,
CWR,Cowarie,Cowarie,Australia,AU,-27.716667,138.333333,802,,,
CDQ,Croydon,Croydon,Australia,AU,-18.3,142.25,802,,,
MCY,Maroochydore,Sunshine Coast,Australia,AU,-26.603333,153.091111,802,,,
KYB,Yangoonabie,Yangoonabie,Australia,AU,-31.466667,130.066667,802,,,
BMP,Brampton Island,Brampton Island,Australia,AU,-20.783333,149.233333,802,,,
SHU,Smith Point,Smith Point,Australia,AU,-11.166667,133.833333,802,,,
DXD,Dixie,Dixie,Australia,AU,-15.166667,143.666667,802,,,
DRN,Dirranbandi,Dirranbandi,Australia,AU,-28.5,148.258333,802,,,
GLG,Glengyle,Glengyle,Australia,AU,-24.766667000000000,139.583333,802,,,
GDD,Gordon Downs,Gordon Downs,Australia,AU,-18.833333,128.533333,802,,,
RMA,Roma,Roma,Australia,AU,-26.55,148.766667,802,,,
HRY,Henbury,Henbury,Australia,AU,-24.666667,133.083333,802,,,
BWB,Barrow Island,Barrow Island,Australia,AU,-20.8,115.383333,802,,,
CGV,Caiguna,Caiguna,Australia,AU,-32.266667,125.466667,802,,,
JHQ,Shute Harbour H/P,Shute Harbour,Australia,AU,-20.283333,148.75,802,,,
COJ,Coonabarabran,Coonabarabran,Australia,AU,-31.333333,149.266667,802,,,
