_id,city1,city2,Month,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),RPKs,ASKs,Seats,Year,Month_num
7105,brisbane,perth,Feb-97,1639,20,57.6,3615,5924985,10284675,2845,1997,2
7106,brisbane,proserpine,Feb-97,5486,109,60.1,895,4909970,8173140,9132,1997,2
7107,brisbane,rockhampton,Feb-97,16480,414,53.5,518,8536640,15941450,30775,1997,2
7108,brisbane,sydney,Feb-97,236876,1884,71.3,753,178367628,250306989,332413,1997,2
7109,brisbane,townsville,Feb-97,28960,370,67.9,1112,32203520,47442368,42664,1997,2
7110,broome,perth,Feb-97,6961,184,56.8,1677,11673597,20566728,12264,1997,2
7111,cairns,melbourne,Feb-97,3032,32,57.0,2311,7006952,12285276,5316,1997,2
7112,cairns,sydney,Feb-97,49548,375,68.2,1971,97659108,143139933,72623,1997,2
7113,cairns,townsville,Feb-97,7664,516,46.05215719,284,2176576,4726328,16642,1997,2
7114,canberra,melbourne,Feb-97,59195,756,65.8,470,27821650,42288720,89976,1997,2
7115,canberra,sydney,Feb-97,62706,1733,58.3,236,14798616,25369764,107499,1997,2
7116,coffs harbour,sydney,Feb-97,11982,389,63.8,443,5308026,8315996,18772,1997,2
7117,darwin,sydney,Feb-97,5681,69,69.1,3155,17923555,25934100,8220,1997,2
7118,devonport,melbourne,Feb-97,9250,377,69.0,412,3811000,5525744,13412,1997,2
7119,dubbo,sydney,Feb-97,8348,529,58.4,310,2587880,4428350,14285,1997,2
7120,gold coast,sydney,Feb-97,97529,949,76.1,680,66319720,87142680,128151,1997,2
7121,hobart,melbourne,Feb-97,60109,535,81.4,618,37147362,45621378,73821,1997,2
7122,hobart,sydney,Feb-97,8258,121,71.5,1039,8580062,12004606,11554,1997,2
7123,kalgoorlie,perth,Feb-97,14314,315,58.2,538,7700932,13239104,24608,1997,2
7124,karratha,perth,Feb-97,12165,312,57.6,1250,15206250,26387500,21110,1997,2
7125,launceston,melbourne,Feb-97,38031,504,76.8,476,18102756,23565808,49508,1997,2
7126,launceston,sydney,Feb-97,8600,141,74.6,914,7860400,10542076,11534,1997,2
7127,melbourne,burnie,Feb-97,7517,371,57.4,378,2841426,4949532,13094,1997,2
7128,melbourne,gold coast,Feb-97,41055,377,75.3,1330,54603150,72482340,54498,1997,2
7129,melbourne,mildura,Feb-97,6883,306,78.3,457,3145531,4016573,8789,1997,2
7130,melbourne,newcastle,Feb-97,968,94,54.2,836,809248,1493096,1786,1997,2
7131,melbourne,perth,Feb-97,62610,547,75.5,2706,169422660,224500584,82964,1997,2
7132,melbourne,sydney,Feb-97,392680,2664,74.7,706,277232080,371346116,525986,1997,2
7133,perth,port hedland,Feb-97,6879,233,45.01963351,1312,9025248,20047360,15280,1997,2
7134,perth,sydney,Feb-97,67252,557,73.4,3284,220855568,300903068,91627,1997,2
7135,sunshine coast,melbourne,Feb-97,2202,24,79.9,1454,3201708,4007224,2756,1997,2
7136,sunshine coast,sydney,Feb-97,12407,128,80.7,837,10384659,12868038,15374,1997,2
7137,sydney,wagga wagga,Feb-97,8894,394,65.5,367,3264098,4982759,13577,1997,2
7138,adelaide,alice springs,Mar-97,14240,124,83.0,1316,18739840,22587824,17164,1997,3
7139,adelaide,brisbane,Mar-97,12984,130,79.9,1622,21060048,26373720,16260,1997,3
7140,adelaide,canberra,Mar-97,8388,107,68.9,972,8153136,11825352,12166,1997,3
7141,adelaide,darwin,Mar-97,9461,128,58.9,2619,24778359,42074235,16065,1997,3
7142,adelaide,melbourne,Mar-97,112930,1170,74.6,643,72613990,97349557,151399,1997,3
7143,adelaide,perth,Mar-97,32825,357,71.0,2120,69589000,97990640,46222,1997,3
7144,adelaide,port lincoln,Mar-97,8452,527,64.8,246,2079192,3208578,13043,1997,3
7145,adelaide,sydney,Mar-97,88046,908,76.5,1167,102749682,134319366,115098,1997,3
7146,albury,sydney,Mar-97,9702,405,69.6,452,4385304,6301784,13942,1997,3
7147,alice springs,darwin,Mar-97,11419,186,52.1,1305,14901795,28580805,21901,1997,3
7148,alice springs,sydney,Mar-97,12619,124,82.3,2022,25515618,30991194,15327,1997,3
7149,ballina,sydney,Mar-97,7780,214,71.0,612,4761360,6706296,10958,1997,3
7150,brisbane,cairns,Mar-97,85918,730,74.2,1391,119511938,161116748,115828,1997,3
7151,brisbane,canberra,Mar-97,15631,289,60.7,956,14943236,24638032,25772,1997,3
7152,brisbane,darwin,Mar-97,10816,134,69.1,2852,30847232,44622392,15646,1997,3
7153,brisbane,hamilton island,Mar-97,8325,121,58.5,888,7392600,12640680,14235,1997,3
7154,brisbane,mackay,Mar-97,20227,360,67.1,797,16120919,24014407,30131,1997,3
7155,brisbane,melbourne,Mar-97,124231,1304,73.1,1381,171563011,234687140,169940,1997,3
7156,brisbane,newcastle,Mar-97,1719,154,58.7,614,1055466,1796564,2926,1997,3
7157,brisbane,perth,Mar-97,2416,25,68.1,3615,8733840,12829635,3549,1997,3
7158,brisbane,proserpine,Mar-97,6425,118,64.8,895,5750375,8879295,9921,1997,3
7159,brisbane,rockhampton,Mar-97,21723,452,64.3,518,11252514,17500630,33785,1997,3
7160,brisbane,sydney,Mar-97,262279,2100,72.9,753,197496087,270947472,359824,1997,3
7161,brisbane,townsville,Mar-97,34232,412,73.2,1112,38065984,52023808,46784,1997,3
7162,broome,perth,Mar-97,11094,227,73.2,1677,18604638,25411581,15153,1997,3
7163,cairns,melbourne,Mar-97,4096,38,64.5,2311,9465856,14679472,6352,1997,3
7164,cairns,sydney,Mar-97,56698,404,72.4,1971,111751758,154445589,78359,1997,3
7165,cairns,townsville,Mar-97,9796,522,57.50513648,284,2782064,4837940,17035,1997,3
7166,canberra,melbourne,Mar-97,61314,795,65.8,470,28817580,43788960,93168,1997,3
7167,canberra,sydney,Mar-97,66549,1838,59.0,236,15705564,26606876,112741,1997,3
7168,coffs harbour,sydney,Mar-97,12896,462,59.9,443,5712928,9534246,21522,1997,3
7169,darwin,sydney,Mar-97,6272,82,67.2,3155,19788160,29436150,9330,1997,3
7170,devonport,melbourne,Mar-97,11568,445,73.8,412,4766016,6454804,15667,1997,3
7171,dubbo,sydney,Mar-97,10448,585,66.8,310,3238880,4845920,15632,1997,3
7172,gold coast,sydney,Mar-97,105991,1063,74.1,680,72073880,97285560,143067,1997,3
7173,hobart,melbourne,Mar-97,65317,589,81.7,618,40365906,49403538,79941,1997,3
7174,hobart,sydney,Mar-97,8977,129,71.4,1039,9327103,13061269,12571,1997,3
7175,kalgoorlie,perth,Mar-97,15545,344,58.2,538,8363210,14374822,26719,1997,3
7176,karratha,perth,Mar-97,11805,312,56.4,1250,14756250,26155000,20924,1997,3
7177,launceston,melbourne,Mar-97,43398,534,82.6,476,20657448,25009516,52541,1997,3
7178,launceston,sydney,Mar-97,10480,155,82.0,914,9578720,11685490,12785,1997,3
7179,melbourne,burnie,Mar-97,8587,399,61.5,378,3245886,5278392,13964,1997,3
7180,melbourne,gold coast,Mar-97,42394,397,73.4,1330,56384020,76846070,57779,1997,3
7181,melbourne,mildura,Mar-97,8154,337,79.3,457,3726378,4697046,10278,1997,3
7182,melbourne,newcastle,Mar-97,1722,158,57.4,836,1439592,2509672,3002,1997,3
7183,melbourne,perth,Mar-97,71913,594,80.6,2706,194596578,241572738,89273,1997,3
7184,melbourne,sydney,Mar-97,421168,2934,74.7,706,297344608,398047742,563807,1997,3
7185,perth,port hedland,Mar-97,8203,240,52.10900775,1312,10762336,20653504,15742,1997,3
7186,perth,sydney,Mar-97,76259,609,76.4,3284,250434556,327799028,99817,1997,3
7187,sunshine coast,melbourne,Mar-97,2125,26,72.1,1454,3089750,4283484,2946,1997,3
7188,sunshine coast,sydney,Mar-97,14365,149,81.1,837,12023505,14826618,17714,1997,3
7189,sydney,townsville,Mar-97,515,5,87.7,1690,870350,992030,587,1997,3
7190,sydney,wagga wagga,Mar-97,10050,425,68.8,367,3688350,5360769,14607,1997,3
7191,adelaide,alice springs,Apr-97,12426,120,75.0,1316,16352616,21795592,16562,1997,4
7192,adelaide,brisbane,Apr-97,13343,129,84.3,1622,21642346,25660040,15820,1997,4
7193,adelaide,canberra,Apr-97,9078,135,58.1,972,8823816,15192360,15630,1997,4
7194,adelaide,darwin,Apr-97,9834,133,64.5,2619,25755246,39908322,15238,1997,4
7195,adelaide,melbourne,Apr-97,110573,1183,73.7,643,71098439,96514300,150100,1997,4
7196,adelaide,perth,Apr-97,33395,343,75.6,2120,70797400,93608600,44155,1997,4
7197,adelaide,port lincoln,Apr-97,8172,501,67.1,246,2010312,2995050,12175,1997,4
7198,adelaide,sydney,Apr-97,88227,936,73.7,1167,102960909,139652556,119668,1997,4
7199,albury,sydney,Apr-97,9732,402,70.6,452,4398864,6231272,13786,1997,4
7200,alice springs,darwin,Apr-97,11919,178,57.0,1305,15554295,27266670,20894,1997,4
7201,alice springs,sydney,Apr-97,11079,120,74.9,2022,22401738,29899314,14787,1997,4
7202,ballina,sydney,Apr-97,7854,214,67.8,612,4806648,7091856,11588,1997,4
7203,brisbane,cairns,Apr-97,75313,756,66.9,1391,104760383,156616863,112593,1997,4
7204,brisbane,canberra,Apr-97,15113,279,65.9,956,14448028,21922992,22932,1997,4
7205,brisbane,darwin,Apr-97,10563,127,63.2,2852,30125676,47685440,16720,1997,4
7206,brisbane,hamilton island,Apr-97,7372,118,66.8,888,6546336,9794640,11030,1997,4
7207,brisbane,mackay,Apr-97,18941,332,68.5,797,15095977,22037050,27650,1997,4
7208,brisbane,melbourne,Apr-97,127316,1287,75.9,1381,175823396,231617177,167717,1997,4
7209,brisbane,newcastle,Apr-97,1746,148,62.1,614,1072044,1726568,2812,1997,4
7210,brisbane,perth,Apr-97,2440,23,77.4,3615,8820600,11398095,3153,1997,4
7211,brisbane,proserpine,Apr-97,5940,170,73.1,895,5316300,7271875,8125,1997,4
7212,brisbane,rockhampton,Apr-97,20220,446,61.8,518,10473960,16946888,32716,1997,4
7213,brisbane,sydney,Apr-97,256746,2052,72.0,753,193329738,268634256,356752,1997,4
7214,brisbane,townsville,Apr-97,35423,361,80.3,1112,39390376,49070336,44128,1997,4
7215,broome,perth,Apr-97,9437,224,62.8,1677,15825849,25196925,15025,1997,4
7216,cairns,melbourne,Apr-97,5458,47,55.2,2311,12613438,22865034,9894,1997,4
7217,cairns,sydney,Apr-97,48230,392,66.1,1971,95061330,143788392,72952,1997,4
7218,cairns,townsville,Apr-97,9582,518,57.58759541,284,2721288,4725476,16639,1997,4
7219,canberra,melbourne,Apr-97,57658,778,62.8,470,27099260,43126260,91758,1997,4
7220,canberra,sydney,Apr-97,65319,1866,58.9,236,15415284,26159184,110844,1997,4
7221,coffs harbour,sydney,Apr-97,12276,474,58.7,443,5438268,9265788,20916,1997,4
7222,darwin,sydney,Apr-97,8177,110,64.4,3155,25798435,40084275,12705,1997,4
7223,devonport,melbourne,Apr-97,11232,423,75.0,412,4627584,6171760,14980,1997,4
7224,dubbo,sydney,Apr-97,9443,597,59.8,310,2927330,4892420,15782,1997,4
7225,gold coast,sydney,Apr-97,113806,996,77.2,680,77388080,100295240,147493,1997,4
7226,hobart,melbourne,Apr-97,60637,542,82.8,618,37473666,45251196,73222,1997,4
7227,hobart,sydney,Apr-97,7394,114,67.3,1039,7682366,11419649,10991,1997,4
7228,kalgoorlie,perth,Apr-97,16177,335,61.3,538,8703226,14201586,26397,1997,4
7229,karratha,perth,Apr-97,13771,316,64.2,1250,17213750,26816250,21453,1997,4
7230,launceston,melbourne,Apr-97,42131,529,82.0,476,20054356,24459736,51386,1997,4
7231,launceston,sydney,Apr-97,6026,102,71.4,914,5507764,7711418,8437,1997,4
7232,melbourne,burnie,Apr-97,8664,374,65.9,378,3274992,4968054,13143,1997,4
7233,melbourne,gold coast,Apr-97,45387,396,78.5,1330,60364710,76920550,57835,1997,4
7234,melbourne,mildura,Apr-97,8266,342,82.5,457,3777562,4579140,10020,1997,4
7235,melbourne,newcastle,Apr-97,1559,160,51.3,836,1303324,2541440,3040,1997,4
7236,melbourne,perth,Apr-97,72443,581,82.8,2706,196030758,236612640,87440,1997,4
7237,melbourne,sydney,Apr-97,395657,2874,72.7,706,279333842,384457948,544558,1997,4
7238,perth,port hedland,Apr-97,10204,255,59.39810233,1312,13387648,22538848,17179,1997,4
7239,perth,sydney,Apr-97,75399,584,79.1,3284,247610316,312856828,95267,1997,4
7240,sunshine coast,melbourne,Apr-97,2678,30,77.3,1454,3893812,5035202,3463,1997,4
7241,sunshine coast,sydney,Apr-97,13265,140,83.5,837,11102805,13298256,15888,1997,4
7242,sydney,townsville,Apr-97,2121,24,77.6,1690,3584490,4620460,2734,1997,4
7243,sydney,wagga wagga,Apr-97,10216,407,72.5,367,3749272,5168461,14083,1997,4
7244,adelaide,alice springs,May-97,11849,126,69.1,1316,15593284,22565452,17147,1997,5
7245,adelaide,brisbane,May-97,12936,133,77.7,1622,20982192,27019276,16658,1997,5
7246,adelaide,canberra,May-97,9175,140,56.4,972,8918100,15801804,16257,1997,5
7247,adelaide,darwin,May-97,10062,130,67.3,2619,26352378,39175002,14958,1997,5
7248,adelaide,melbourne,May-97,105294,1166,71.6,643,67704042,94616807,147149,1997,5
7249,adelaide,perth,May-97,31367,358,67.8,2120,66498040,98111480,46279,1997,5
7250,adelaide,port lincoln,May-97,7696,519,61.1,246,1893216,3096402,12587,1997,5
7251,adelaide,sydney,May-97,81420,918,69.2,1167,95017140,137222862,117586,1997,5
7252,albury,sydney,May-97,9330,416,65.2,452,4217160,6467668,14309,1997,5
7253,alice springs,darwin,May-97,13731,189,62.5,1305,17918955,28653885,21957,1997,5
7254,alice springs,sydney,May-97,10545,124,70.0,2022,21321990,30475584,15072,1997,5
7255,ballina,sydney,May-97,7418,217,63.3,612,4539816,7174476,11723,1997,5
7256,brisbane,cairns,May-97,68623,733,61.7,1391,95454593,154644425,111175,1997,5
7257,brisbane,canberra,May-97,14558,287,61.9,956,13917448,22501372,23537,1997,5
7258,brisbane,darwin,May-97,12208,133,69.0,2852,34817216,50423360,17680,1997,5
7259,brisbane,hamilton island,May-97,7299,118,62.6,888,6481512,10352304,11658,1997,5
7260,brisbane,mackay,May-97,18528,335,66.1,797,14766816,22355053,28049,1997,5
7261,brisbane,melbourne,May-97,115106,1192,73.2,1381,158961386,217205061,157281,1997,5
7262,brisbane,newcastle,May-97,2088,191,50.8,614,1282032,2522926,4109,1997,5
7263,brisbane,perth,May-97,1685,22,55.9,3615,6091275,10891995,3013,1997,5
7264,brisbane,proserpine,May-97,4982,158,67.5,895,4458890,6605100,7380,1997,5
7265,brisbane,rockhampton,May-97,19999,457,58.8,518,10359482,17604230,33985,1997,5
7266,brisbane,sydney,May-97,243925,1992,68.9,753,183675525,266595132,354044,1997,5
7267,brisbane,townsville,May-97,34861,372,75.3,1112,38765432,51494496,46308,1997,5
7268,broome,perth,May-97,9821,236,62.7,1677,16469817,26246727,15651,1997,5
7269,cairns,melbourne,May-97,5277,55,46.3,2311,12195147,26322290,11390,1997,5
7270,cairns,sydney,May-97,44876,392,61.7,1971,88450596,143435583,72773,1997,5
7271,cairns,townsville,May-97,9717,538,56.19686542,284,2759628,4910644,17291,1997,5
7272,canberra,melbourne,May-97,56619,810,60.7,470,26610930,43850060,93298,1997,5
7273,canberra,sydney,May-97,70879,1893,61.7,236,16727444,27112860,114885,1997,5
7274,coffs harbour,sydney,May-97,12083,496,56.9,443,5352769,9414193,21251,1997,5
7275,darwin,melbourne,May-97,99,1,33.4,3131,309969,926776,296,1997,5
7276,darwin,sydney,May-97,8463,110,67.4,3155,26700765,39623645,12559,1997,5
7277,devonport,melbourne,May-97,8739,428,58.6,412,3600468,6141272,14906,1997,5
7278,dubbo,sydney,May-97,9995,615,61.6,310,3098450,5026340,16214,1997,5
7279,gold coast,sydney,May-97,91552,933,68.0,680,62255360,91559280,134646,1997,5
7280,hobart,melbourne,May-97,55285,560,72.3,618,34166130,47225088,76416,1997,5
7281,hobart,sydney,May-97,5268,92,62.9,1039,5473452,8699547,8373,1997,5
7282,kalgoorlie,perth,May-97,16007,355,58.4,538,8611766,14734744,27388,1997,5
7283,karratha,perth,May-97,13753,336,61.2,1250,17191250,28073750,22459,1997,5
7284,launceston,melbourne,May-97,33239,529,65.0,476,15821764,24339784,51134,1997,5
7285,launceston,sydney,May-97,4020,85,59.1,914,3674280,6221598,6807,1997,5
7286,melbourne,burnie,May-97,7236,382,55.1,378,2735208,4961628,13126,1997,5
7287,melbourne,gold coast,May-97,35114,327,73.3,1330,46701620,63708330,47901,1997,5
7288,melbourne,mildura,May-97,8256,366,74.4,457,3772992,5070872,11096,1997,5
7289,melbourne,newcastle,May-97,1520,158,50.6,836,1270720,2509672,3002,1997,5
7290,melbourne,perth,May-97,62054,575,72.6,2706,167918124,231257466,85461,1997,5
7291,melbourne,sydney,May-97,381011,2811,70.0,706,268993766,384438886,544531,1997,5
7292,perth,port hedland,May-97,9684,267,54.55774648,1312,12705408,23288000,17750,1997,5
7293,perth,sydney,May-97,68370,605,68.7,3284,224527080,326616788,99457,1997,5
7294,sunshine coast,melbourne,May-97,2663,34,67.5,1454,3872002,5740392,3948,1997,5
7295,sunshine coast,sydney,May-97,11841,139,73.4,837,9910917,13507506,16138,1997,5
7296,sydney,townsville,May-97,2010,26,67.0,1690,3396900,5073380,3002,1997,5
7297,sydney,wagga wagga,May-97,9661,423,66.5,367,3545587,5331042,14526,1997,5
7298,adelaide,alice springs,Jun-97,12311,121,73.7,1316,16201276,21986412,16707,1997,6
7299,adelaide,brisbane,Jun-97,12824,130,79.9,1622,20800528,26028234,16047,1997,6
7300,adelaide,canberra,Jun-97,8461,130,55.9,972,8224092,14706360,15130,1997,6
7301,adelaide,darwin,Jun-97,12847,134,81.8,2619,33646293,41110443,15697,1997,6
7302,adelaide,melbourne,Jun-97,98859,1129,68.7,643,63566337,92476260,143820,1997,6
7303,adelaide,perth,Jun-97,29000,356,62.9,2120,61480000,97710800,46090,1997,6
7304,adelaide,port lincoln,Jun-97,8121,510,65.5,246,1997766,3049170,12395,1997,6
7305,adelaide,sydney,Jun-97,75128,892,65.6,1167,87674376,133699689,114567,1997,6
7306,albury,sydney,Jun-97,9299,400,67.9,452,4203148,6189688,13694,1997,6
7307,alice springs,darwin,Jun-97,14513,179,69.3,1305,18939465,27342360,20952,1997,6
7308,alice springs,sydney,Jun-97,11842,120,80.2,2022,23944524,29866962,14771,1997,6
7309,ballina,sydney,Jun-97,7334,214,64.2,612,4488408,6995772,11431,1997,6
7310,brisbane,cairns,Jun-97,81705,751,72.4,1391,113651655,156999388,112868,1997,6
7311,brisbane,canberra,Jun-97,16157,292,65.7,956,15446092,23510908,24593,1997,6
7312,brisbane,darwin,Jun-97,14921,134,82.1,2852,42554692,51820840,18170,1997,6
7313,brisbane,hamilton island,Jun-97,7709,120,63.8,888,6845592,10727040,12080,1997,6
7314,brisbane,mackay,Jun-97,19150,330,69.5,797,15262550,21969305,27565,1997,6
7315,brisbane,melbourne,Jun-97,122794,1227,76.1,1381,169578514,222865780,161380,1997,6
7316,brisbane,newcastle,Jun-97,2374,220,46.0,614,1457636,3170696,5164,1997,6
7317,brisbane,perth,Jun-97,1370,18,54.9,3615,4952550,9019425,2495,1997,6
7318,brisbane,proserpine,Jun-97,6179,164,79.2,895,5530205,6981895,7801,1997,6
7319,brisbane,rockhampton,Jun-97,20373,483,59.3,518,10553214,17786566,34337,1997,6
7320,brisbane,sydney,Jun-97,244636,1957,70.9,753,184210908,259826415,345055,1997,6
7321,brisbane,townsville,Jun-97,37627,366,81.5,1112,41841224,51324360,46155,1997,6
7322,broome,perth,Jun-97,11414,246,69.3,1677,19141278,27636960,16480,1997,6
7323,cairns,melbourne,Jun-97,7182,55,62.1,2311,16597602,26705916,11556,1997,6
7324,cairns,sydney,Jun-97,50501,399,67.9,1971,99537471,146595096,74376,1997,6
7325,cairns,townsville,Jun-97,10205,512,62.25977671,284,2898220,4655044,16391,1997,6
7326,canberra,melbourne,Jun-97,52527,790,58.7,470,24687690,42068290,89507,1997,6
7327,canberra,sydney,Jun-97,64922,1824,58.6,236,15321592,26131336,110726,1997,6
7328,coffs harbour,sydney,Jun-97,12054,482,57.2,443,5339922,9328251,21057,1997,6
7329,darwin,melbourne,Jun-97,255,4,49.2,3131,798405,1621858,518,1997,6
7330,darwin,sydney,Jun-97,10780,112,80.4,3155,34010900,42283310,13402,1997,6
7331,devonport,melbourne,Jun-97,8833,414,61.2,412,3639196,5950928,14444,1997,6
7332,dubbo,sydney,Jun-97,9646,574,63.6,310,2990260,4701150,15165,1997,6
7333,gold coast,sydney,Jun-97,96147,921,70.6,680,65379960,92588120,136159,1997,6
7334,hobart,melbourne,Jun-97,55114,548,73.3,618,34060452,46456914,75173,1997,6
7335,hobart,sydney,Jun-97,5506,93,63.2,1039,5720734,9048651,8709,1997,6
7336,kalgoorlie,perth,Jun-97,15084,344,56.8,538,8115192,14286052,26554,1997,6
7337,karratha,perth,Jun-97,13442,313,62.5,1250,16802500,26892500,21514,1997,6
7338,launceston,melbourne,Jun-97,32716,499,67.1,476,15572816,23220232,48782,1997,6
7339,launceston,sydney,Jun-97,4264,87,60.5,914,3897296,6446442,7053,1997,6
7340,melbourne,burnie,Jun-97,7317,341,61.5,378,2765826,4493664,11888,1997,6
7341,melbourne,gold coast,Jun-97,41655,361,76.7,1330,55401150,72260230,54331,1997,6
7342,melbourne,mildura,Jun-97,8185,357,73.7,457,3740545,5074985,11105,1997,6
7343,melbourne,newcastle,Jun-97,1655,144,60.5,836,1383580,2287296,2736,1997,6
7344,melbourne,perth,Jun-97,57282,553,68.5,2706,155005092,226175598,83583,1997,6
7345,melbourne,sydney,Jun-97,373832,2723,71.1,706,263925392,371391300,526050,1997,6
7346,perth,port hedland,Jun-97,9208,260,52.34792496,1312,12080896,23078080,17590,1997,6
7347,perth,sydney,Jun-97,64507,581,67.1,3284,211840988,315802576,96164,1997,6
7348,sunshine coast,melbourne,Jun-97,3074,35,75.2,1454,4469596,5942498,4087,1997,6
7349,sunshine coast,sydney,Jun-97,12384,134,80.1,837,10365408,12945879,15467,1997,6
7350,sydney,townsville,Jun-97,2787,28,86.4,1690,4710030,5450250,3225,1997,6
7351,sydney,wagga wagga,Jun-97,9737,388,73.1,367,3573479,4889174,13322,1997,6
7352,adelaide,alice springs,Jul-97,14946,127,84.2,1316,19668936,23348472,17742,1997,7
7353,adelaide,brisbane,Jul-97,16324,159,81.3,1622,26477528,32582736,20088,1997,7
7354,adelaide,canberra,Jul-97,8610,147,50.6,972,8368920,16547328,17024,1997,7
7355,adelaide,darwin,Jul-97,15813,146,91.7,2619,41414247,45148941,17239,1997,7
7356,adelaide,gold coast,Jul-97,325,3,94.8,1607,522275,551201,343,1997,7
7357,adelaide,melbourne,Jul-97,106342,1213,68.4,643,68377906,99927344,155408,1997,7
7358,adelaide,perth,Jul-97,32828,372,69.0,2120,69595360,100907760,47598,1997,7
7359,adelaide,port lincoln,Jul-97,7850,530,61.0,246,1931100,3163314,12859,1997,7
7360,adelaide,sydney,Jul-97,90135,987,70.6,1167,105187545,148922037,127611,1997,7
7361,albury,sydney,Jul-97,9772,417,68.3,452,4416944,6469476,14313,1997,7
7362,alice springs,darwin,Jul-97,18612,189,82.6,1305,24288660,29417310,22542,1997,7
7363,alice springs,sydney,Jul-97,12957,123,84.6,2022,26199054,30954798,15309,1997,7
7364,ballina,sydney,Jul-97,7146,221,60.9,612,4373352,7182432,11736,1997,7
7365,brisbane,cairns,Jul-97,101145,840,78.5,1391,140692695,179315201,128911,1997,7
7366,brisbane,canberra,Jul-97,17228,313,66.3,956,16469968,24833056,25976,1997,7
7367,brisbane,darwin,Jul-97,17356,141,90.0,2852,49499312,55023636,19293,1997,7
7368,brisbane,hamilton island,Jul-97,7969,123,69.4,888,7076472,10203120,11490,1997,7
7369,brisbane,mackay,Jul-97,21642,351,73.5,797,17248674,23462086,29438,1997,7
7370,brisbane,melbourne,Jul-97,138735,1378,76.8,1381,191593035,249542557,180697,1997,7
7371,brisbane,newcastle,Jul-97,2783,373,35.7,614,1708762,4792884,7806,1997,7
7372,brisbane,perth,Jul-97,2052,21,69.0,3615,7417980,10751010,2974,1997,7
7373,brisbane,proserpine,Jul-97,7045,154,82.8,895,6305275,7611975,8505,1997,7
7374,brisbane,rockhampton,Jul-97,20856,473,60.0,518,10803408,18011896,34772,1997,7
7375,brisbane,sydney,Jul-97,272314,2124,73.2,753,205052442,280314039,372263,1997,7
7376,brisbane,townsville,Jul-97,39642,406,77.7,1112,44081904,56738688,51024,1997,7
7377,broome,perth,Jul-97,15055,261,85.9,1677,25247235,29382717,17521,1997,7
7378,cairns,melbourne,Jul-97,8137,49,79.6,2311,18804607,23609176,10216,1997,7
7379,cairns,sydney,Jul-97,63184,419,76.7,1971,124535664,162459675,82425,1997,7
7380,cairns,townsville,Jul-97,11168,546,64.29846278,284,3171712,4932796,17369,1997,7
7381,canberra,melbourne,Jul-97,53559,840,55.9,470,25172730,45020830,95789,1997,7
7382,canberra,sydney,Jul-97,70784,1967,59.5,236,16705024,28063232,118912,1997,7
7383,coffs harbour,sydney,Jul-97,12461,492,57.8,443,5520223,9551523,21561,1997,7
7384,darwin,melbourne,Jul-97,198,2,68.8,3131,619938,901728,288,1997,7
7385,darwin,sydney,Jul-97,12635,118,90.3,3155,39863425,44160535,13997,1997,7
7386,devonport,melbourne,Jul-97,9472,424,64.0,412,3902464,6098836,14803,1997,7
7387,dubbo,sydney,Jul-97,9470,621,58.0,310,2935700,5065400,16340,1997,7
7388,gold coast,sydney,Jul-97,104466,1004,72.4,680,71036880,98116520,144289,1997,7
7389,hobart,melbourne,Jul-97,53424,546,71.2,618,33016032,46351854,75003,1997,7
7390,hobart,sydney,Jul-97,6210,112,61.9,1039,6452190,10423248,10032,1997,7
7391,kalgoorlie,perth,Jul-97,16144,363,57.1,538,8685472,15221634,28293,1997,7
7392,karratha,perth,Jul-97,14794,335,65.8,1250,18492500,28088750,22471,1997,7
7393,launceston,melbourne,Jul-97,29911,512,64.1,476,14237636,22205876,46651,1997,7
7394,launceston,sydney,Jul-97,4114,95,62.9,914,3760196,5982130,6545,1997,7
7395,melbourne,burnie,Jul-97,7358,354,61.4,378,2781324,4528440,11980,1997,7
7396,melbourne,gold coast,Jul-97,48126,381,78.6,1330,64007580,81447870,61239,1997,7
7397,melbourne,mildura,Jul-97,8115,372,71.1,457,3708555,5212999,11407,1997,7
7398,melbourne,newcastle,Jul-97,1716,238,40.1,836,1434576,3581424,4284,1997,7
7399,melbourne,perth,Jul-97,69545,598,75.7,2706,188188770,248543394,91849,1997,7
7400,melbourne,sydney,Jul-97,422165,3055,71.4,706,298048490,417445092,591282,1997,7
7401,perth,port hedland,Jul-97,10071,265,57.88929126,1312,13213152,22824864,17397,1997,7
7402,perth,sydney,Jul-97,74295,618,72.8,3284,243984780,335148620,102055,1997,7
7403,sunshine coast,melbourne,Jul-97,3168,32,86.3,1454,4606272,5339088,3672,1997,7
7404,sunshine coast,sydney,Jul-97,14201,149,83.7,837,11886237,14204727,16971,1997,7
7405,sydney,townsville,Jul-97,4081,45,78.0,1690,6896890,8843770,5233,1997,7
7406,sydney,wagga wagga,Jul-97,10107,426,69.1,367,3709269,5371412,14636,1997,7
7407,adelaide,alice springs,Aug-97,14651,125,83.8,1316,19280716,23006312,17482,1997,8
7408,adelaide,brisbane,Aug-97,16345,160,82.0,1622,26511590,32332948,19934,1997,8
7409,adelaide,canberra,Aug-97,8474,132,55.7,972,8236728,14793840,15220,1997,8
7410,adelaide,darwin,Aug-97,14571,142,88.0,2619,38161449,43388973,16567,1997,8
7411,adelaide,melbourne,Aug-97,109903,1171,73.6,643,70667629,96041695,149365,1997,8
