_id,city1,city2,Month,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),RPKs,ASKs,Seats,Year,Month_num
406,coffs harbour,sydney,Oct-84,6249,157,76.8,443,2768307,3604566,8137,1984,10
407,darwin,sydney,Oct-84,141,2,49.0,3155,444855,907867,288,1984,10
408,devonport,melbourne,Oct-84,4887,184,52.8,412,2013444,3813341,9256,1984,10
409,dubbo,sydney,Oct-84,6591,154,80.2,310,2043210,2547643,8218,1984,10
410,gold coast,sydney,Oct-84,34913,389,78.9,680,23740840,30089785,44250,1984,10
411,hobart,melbourne,Oct-84,26895,338,74.5,618,16621110,22310215,36101,1984,10
412,kalgoorlie,perth,Oct-84,6929,245,67.6,538,3727802,5514500,10250,1984,10
413,karratha,perth,Oct-84,6987,151,75.7,1250,8733750,11537318,9230,1984,10
414,launceston,melbourne,Oct-84,31514,610,71.0,476,15000664,21127696,44386,1984,10
415,melbourne,burnie,Oct-84,5979,220,59.2,378,2260062,3817672,10100,1984,10
416,melbourne,gold coast,Oct-84,15354,136,87.8,1330,20420820,23258337,17487,1984,10
417,melbourne,mildura,Oct-84,3724,354,38.8,457,1701868,4386258,9598,1984,10
418,melbourne,perth,Oct-84,26959,263,74.3,2706,72951054,98184460,36284,1984,10
419,melbourne,sydney,Oct-84,172413,1534,71.7,706,121723578,169767891,240464,1984,10
420,perth,sydney,Oct-84,15195,123,83.3,3284,49900380,59904418,18241,1984,10
421,sunshine coast,sydney,Oct-84,3754,89,67.1,837,3142098,4682709,5595,1984,10
422,sydney,townsville,Oct-84,6491,78,80.1,1690,10969790,13695119,8104,1984,10
423,sydney,wagga wagga,Oct-84,5649,168,65.7,367,2073183,3155530,8598,1984,10
424,adelaide,alice springs,Nov-84,11882,114,76.4,1316,15636712,20466901,15552,1984,11
425,adelaide,brisbane,Nov-84,2531,34,62.2,1622,4105282,6600132,4069,1984,11
426,adelaide,canberra,Nov-84,1639,17,86.5,972,1593108,1841743,1895,1984,11
427,adelaide,darwin,Nov-84,1442,13,77.0,2619,3776598,4904673,1873,1984,11
428,adelaide,gold coast,Nov-84,952,16,61.3,1607,1529864,2495700,1553,1984,11
429,adelaide,melbourne,Nov-84,58096,693,73.0,643,37355728,51172230,79584,1984,11
430,adelaide,perth,Nov-84,15797,129,85.3,2120,33489640,39261008,18519,1984,11
431,adelaide,sydney,Nov-84,33471,338,78.4,1167,39060657,49822267,42693,1984,11
432,albury,sydney,Nov-84,10320,189,78.7,452,4664640,5927116,13113,1984,11
433,alice springs,darwin,Nov-84,6870,69,69.1,1305,8965350,12974457,9942,1984,11
434,alice springs,sydney,Nov-84,2597,29,67.6,2022,5251134,7767950,3842,1984,11
435,brisbane,cairns,Nov-84,237,11,40.6,1391,329667,811988,584,1984,11
436,brisbane,canberra,Nov-84,309,8,37.9,956,295404,779430,815,1984,11
437,brisbane,darwin,Nov-84,1141,12,66.0,2852,3254132,4930503,1729,1984,11
438,brisbane,mackay,Nov-84,1630,58,83.8,797,1299110,1550251,1945,1984,11
439,brisbane,melbourne,Nov-84,28487,326,78.2,1381,39340547,50307605,36428,1984,11
440,brisbane,perth,Nov-84,325,4,56.4,3615,1174875,2083112,576,1984,11
441,brisbane,proserpine,Nov-84,5864,85,68.0,895,5248280,7718059,8624,1984,11
442,brisbane,rockhampton,Nov-84,18425,289,67.8,518,9544150,14076917,27176,1984,11
443,brisbane,sydney,Nov-84,98657,983,72.0,753,74288721,103178779,137024,1984,11
444,brisbane,townsville,Nov-84,33101,387,82.2,1112,36808312,44778968,40269,1984,11
445,broome,perth,Nov-84,220,4,82.1,1677,368940,449379,268,1984,11
446,cairns,sydney,Nov-84,184,2,74.8,1971,362664,484845,246,1984,11
447,canberra,melbourne,Nov-84,33606,392,70.0,470,15794820,22564029,48009,1984,11
448,canberra,sydney,Nov-84,48623,753,63.5,236,11475028,18070910,76572,1984,11
449,coffs harbour,sydney,Nov-84,5891,148,76.8,443,2609713,3398064,7671,1984,11
450,devonport,melbourne,Nov-84,5306,193,58.1,412,2186072,3762602,9133,1984,11
451,dubbo,sydney,Nov-84,5908,147,75.9,310,1831480,2413017,7784,1984,11
452,gold coast,sydney,Nov-84,33429,396,76.5,680,22731720,29714667,43698,1984,11
453,hobart,melbourne,Nov-84,24071,321,76.4,618,14875878,19471045,31507,1984,11
454,kalgoorlie,perth,Nov-84,6384,238,63.9,538,3434592,5374948,9991,1984,11
455,karratha,perth,Nov-84,6747,148,73.2,1250,8433750,11521516,9217,1984,11
456,launceston,melbourne,Nov-84,29893,533,69.2,476,14229068,20562237,43198,1984,11
457,melbourne,burnie,Nov-84,5355,171,66.2,378,2024190,3057689,8089,1984,11
458,melbourne,gold coast,Nov-84,9602,85,87.8,1330,12770660,14545171,10936,1984,11
459,melbourne,mildura,Nov-84,3842,335,42.9,457,1755794,4092760,8956,1984,11
460,melbourne,perth,Nov-84,23668,227,80.2,2706,64045608,79857367,29511,1984,11
461,melbourne,sydney,Nov-84,177973,1529,73.5,706,125648938,170950936,242140,1984,11
462,perth,sydney,Nov-84,14354,122,78.8,3284,47138536,59820477,18216,1984,11
463,sunshine coast,sydney,Nov-84,3900,107,57.9,837,3264300,5637824,6736,1984,11
464,sydney,townsville,Nov-84,3038,37,73.4,1690,5134220,6994850,4139,1984,11
465,sydney,wagga wagga,Nov-84,5338,162,64.1,367,1959046,3056234,8328,1984,11
466,adelaide,alice springs,Dec-84,10760,106,74.7,1316,14160160,18956037,14404,1984,12
467,adelaide,brisbane,Dec-84,3737,35,87.6,1622,6061414,6919422,4266,1984,12
468,adelaide,canberra,Dec-84,1383,15,75.7,972,1344276,1775794,1827,1984,12
469,adelaide,darwin,Dec-84,4319,37,77.9,2619,11311461,14520489,5544,1984,12
470,adelaide,gold coast,Dec-84,1247,16,74.8,1607,2003929,2679049,1667,1984,12
