Route,Departing Port,Arriving Port,Airline,Month,Sectors Scheduled,Sectors Flown,Cancellations,Departures On Time,Arrivals On Time,Departures Delayed,Arrivals Delayed,"OnTime Departures(%)","OnTime Arrivals(%)","Cancellations(%)"
Cairns-Brisbane,Cairns,Brisbane,Tigerair Australia,Jan-20, 31, 30, 1, 23, 25, 7, 5,76.7,83.3,3.2
Cairns-Melbourne,Cairns,Melbourne,Tigerair Australia,Jan-20, 43, 43, 0, 31, 31, 12, 12,72.1,72.1,0.0
Cairns-Sydney,Cairns,Sydney,Tigerair Australia,Jan-20, 31, 31, 0, 25, 27, 6, 4,80.6,87.1,0.0
Canberra-Brisbane,Canberra,Brisbane,Tigerair Australia,Jan-20, 31, 30, 1, 24, 22, 6, 8,80.0,73.3,3.2
Canberra-Melbourne,Canberra,Melbourne,Tigerair Australia,Jan-20, 34, 32, 2, 20, 21, 12, 11,62.5,65.6,5.9
Coffs Harbour-Sydney,Coffs Harbour,Sydney,Tigerair Australia,Jan-20, 27, 26, 1, 22, 21, 4, 5,84.6,80.8,3.7
Darwin-Brisbane,Darwin,Brisbane,Tigerair Australia,Jan-20, 18, 18, 0, 15, 15, 3, 3,83.3,83.3,0.0
Gold Coast-Melbourne,Gold Coast,Melbourne,Tigerair Australia,Jan-20, 87, 86, 1, 50, 51, 36, 35,58.1,59.3,1.1
Gold Coast-Sydney,Gold Coast,Sydney,Tigerair Australia,Jan-20, 97, 96, 1, 46, 49, 50, 47,47.9,51.0,1.0
Hobart-Melbourne,Hobart,Melbourne,Tigerair Australia,Jan-20, 52, 52, 0, 31, 24, 21, 28,59.6,46.2,0.0
Melbourne-Adelaide,Melbourne,Adelaide,Tigerair Australia,Jan-20, 73, 69, 4, 56, 53, 13, 16,81.2,76.8,5.5
Melbourne-Brisbane,Melbourne,Brisbane,Tigerair Australia,Jan-20, 121, 118, 3, 91, 81, 27, 37,77.1,68.6,2.5
Melbourne-Cairns,Melbourne,Cairns,Tigerair Australia,Jan-20, 43, 43, 0, 34, 34, 9, 9,79.1,79.1,0.0
Melbourne-Canberra,Melbourne,Canberra,Tigerair Australia,Jan-20, 34, 32, 2, 23, 23, 9, 9,71.9,71.9,5.9
Melbourne-Gold Coast,Melbourne,Gold Coast,Tigerair Australia,Jan-20, 87, 87, 0, 66, 60, 21, 27,75.9,69.0,0.0
Melbourne-Hobart,Melbourne,Hobart,Tigerair Australia,Jan-20, 52, 52, 0, 43, 40, 9, 12,82.7,76.9,0.0
Melbourne-Perth,Melbourne,Perth,Tigerair Australia,Jan-20, 59, 57, 2, 42, 42, 15, 15,73.7,73.7,3.4
Melbourne-Sydney,Melbourne,Sydney,Tigerair Australia,Jan-20, 267, 242, 25, 165, 142, 77, 100,68.2,58.7,9.4
Perth-Melbourne,Perth,Melbourne,Tigerair Australia,Jan-20, 58, 56, 2, 37, 44, 19, 12,66.1,78.6,3.4
Perth-Sydney,Perth,Sydney,Tigerair Australia,Jan-20, 27, 27, 0, 16, 19, 11, 8,59.3,70.4,0.0
Proserpine-Sydney,Proserpine,Sydney,Tigerair Australia,Jan-20, 19, 19, 0, 11, 10, 8, 9,57.9,52.6,0.0
Sydney-Adelaide,Sydney,Adelaide,Tigerair Australia,Jan-20, 30, 29, 1, 17, 18, 12, 11,58.6,62.1,3.3
Sydney-Brisbane,Sydney,Brisbane,Tigerair Australia,Jan-20, 139, 134, 5, 94, 92, 40, 42,70.1,68.7,3.6
Sydney-Cairns,Sydney,Cairns,Tigerair Australia,Jan-20, 31, 31, 0, 28, 26, 3, 5,90.3,83.9,0.0
Sydney-Coffs Harbour,Sydney,Coffs Harbour,Tigerair Australia,Jan-20, 27, 26, 1, 22, 22, 4, 4,84.6,84.6,3.7
Sydney-Gold Coast,Sydney,Gold Coast,Tigerair Australia,Jan-20, 97, 96, 1, 63, 58, 33, 38,65.6,60.4,1.0
Sydney-Melbourne,Sydney,Melbourne,Tigerair Australia,Jan-20, 268, 243, 25, 142, 143, 101, 100,58.4,58.8,9.3
Sydney-Perth,Sydney,Perth,Tigerair Australia,Jan-20, 28, 28, 0, 19, 20, 9, 8,67.9,71.4,0.0
Sydney-Proserpine,Sydney,Proserpine,Tigerair Australia,Jan-20, 19, 19, 0, 10, 12, 9, 7,52.6,63.2,0.0
All Ports-All Ports,All Ports,All Ports,Tigerair Australia,Jan-20,2 498,2 401, 97,1 663,1 610, 738, 791,69.3,67.1,3.9
Adelaide-Brisbane,Adelaide,Brisbane,Virgin Australia,Jan-20, 111, 111, 0, 93, 98, 18, 13,83.8,88.3,0.0
Adelaide-Canberra,Adelaide,Canberra,Virgin Australia,Jan-20, 27, 26, 1, 21, 21, 5, 5,80.8,80.8,3.7
Adelaide-Gold Coast,Adelaide,Gold Coast,Virgin Australia,Jan-20, 34, 34, 0, 33, 31, 1, 3,97.1,91.2,0.0
Adelaide-Melbourne,Adelaide,Melbourne,Virgin Australia,Jan-20, 257, 247, 10, 174, 168, 73, 79,70.4,68.0,3.9
Adelaide-Perth,Adelaide,Perth,Virgin Australia,Jan-20, 42, 42, 0, 34, 32, 8, 10,81.0,76.2,0.0
Adelaide-Sydney,Adelaide,Sydney,Virgin Australia,Jan-20, 162, 161, 1, 130, 128, 31, 33,80.7,79.5,0.6
Albury-Sydney,Albury,Sydney,Virgin Australia,Jan-20, 51, 41, 10, 24, 22, 17, 19,58.5,53.7,19.6
Ayers Rock-Sydney,Ayers Rock,Sydney,Virgin Australia,Jan-20, 31, 30, 1, 26, 26, 4, 4,86.7,86.7,3.2
Ballina-Sydney,Ballina,Sydney,Virgin Australia,Jan-20, 44, 44, 0, 23, 28, 21, 16,52.3,63.6,0.0
Brisbane-Adelaide,Brisbane,Adelaide,Virgin Australia,Jan-20, 111, 110, 1, 77, 95, 33, 15,70.0,86.4,0.9
Brisbane-Bundaberg,Brisbane,Bundaberg,Virgin Australia,Jan-20, 31, 31, 0, 30, 30, 1, 1,96.8,96.8,0.0
Brisbane-Cairns,Brisbane,Cairns,Virgin Australia,Jan-20, 143, 143, 0, 112, 124, 31, 19,78.3,86.7,0.0
Brisbane-Canberra,Brisbane,Canberra,Virgin Australia,Jan-20, 91, 88, 3, 69, 72, 19, 16,78.4,81.8,3.3
Brisbane-Darwin,Brisbane,Darwin,Virgin Australia,Jan-20, 32, 32, 0, 17, 18, 15, 14,53.1,56.3,0.0
Brisbane-Emerald,Brisbane,Emerald,Virgin Australia,Jan-20, 44, 44, 0, 42, 42, 2, 2,95.5,95.5,0.0
Brisbane-Gladstone,Brisbane,Gladstone,Virgin Australia,Jan-20, 71, 71, 0, 68, 68, 3, 3,95.8,95.8,0.0
Brisbane-Hamilton Island,Brisbane,Hamilton Island,Virgin Australia,Jan-20, 31, 31, 0, 23, 25, 8, 6,74.2,80.6,0.0
Brisbane-Hobart,Brisbane,Hobart,Virgin Australia,Jan-20, 42, 42, 0, 36, 40, 6, 2,85.7,95.2,0.0
Brisbane-Mackay,Brisbane,Mackay,Virgin Australia,Jan-20, 141, 141, 0, 110, 110, 31, 31,78.0,78.0,0.0
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,Jan-20, 365, 347, 18, 242, 221, 105, 126,69.7,63.7,4.9
Brisbane-Mount Isa,Brisbane,Mount Isa,Virgin Australia,Jan-20, 18, 18, 0, 18, 18, 0, 0,100.0,100.0,0.0
Brisbane-Newcastle,Brisbane,Newcastle,Virgin Australia,Jan-20, 85, 84, 1, 66, 66, 18, 18,78.6,78.6,1.2
Brisbane-Perth,Brisbane,Perth,Virgin Australia,Jan-20, 112, 112, 0, 64, 78, 48, 34,57.1,69.6,0.0
Brisbane-Proserpine,Brisbane,Proserpine,Virgin Australia,Jan-20, 45, 44, 1, 37, 38, 7, 6,84.1,86.4,2.2
Brisbane-Rockhampton,Brisbane,Rockhampton,Virgin Australia,Jan-20, 139, 139, 0, 106, 108, 33, 31,76.3,77.7,0.0
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,Jan-20, 491, 485, 6, 357, 343, 128, 142,73.6,70.7,1.2
Brisbane-Townsville,Brisbane,Townsville,Virgin Australia,Jan-20, 134, 132, 2, 93, 100, 39, 32,70.5,75.8,1.5
Broome-Perth,Broome,Perth,Virgin Australia,Jan-20, 10, 9, 1, 6, 6, 3, 3,66.7,66.7,10.0
Bundaberg-Brisbane,Bundaberg,Brisbane,Virgin Australia,Jan-20, 31, 31, 0, 30, 30, 1, 1,96.8,96.8,0.0
Cairns-Brisbane,Cairns,Brisbane,Virgin Australia,Jan-20, 143, 143, 0, 122, 124, 21, 19,85.3,86.7,0.0
Cairns-Melbourne,Cairns,Melbourne,Virgin Australia,Jan-20, 44, 44, 0, 34, 28, 10, 16,77.3,63.6,0.0
Cairns-Sydney,Cairns,Sydney,Virgin Australia,Jan-20, 100, 100, 0, 81, 79, 19, 21,81.0,79.0,0.0
Canberra-Adelaide,Canberra,Adelaide,Virgin Australia,Jan-20, 27, 26, 1, 20, 19, 6, 7,76.9,73.1,3.7
Canberra-Brisbane,Canberra,Brisbane,Virgin Australia,Jan-20, 91, 88, 3, 74, 74, 14, 14,84.1,84.1,3.3
Canberra-Melbourne,Canberra,Melbourne,Virgin Australia,Jan-20, 132, 125, 7, 83, 75, 42, 50,66.4,60.0,5.3
Canberra-Sydney,Canberra,Sydney,Virgin Australia,Jan-20, 157, 154, 3, 122, 117, 32, 37,79.2,76.0,1.9
Coffs Harbour-Sydney,Coffs Harbour,Sydney,Virgin Australia,Jan-20, 31, 31, 0, 22, 23, 9, 8,71.0,74.2,0.0
Darwin-Brisbane,Darwin,Brisbane,Virgin Australia,Jan-20, 32, 32, 0, 27, 23, 5, 9,84.4,71.9,0.0
Darwin-Melbourne,Darwin,Melbourne,Virgin Australia,Jan-20, 31, 31, 0, 28, 27, 3, 4,90.3,87.1,0.0
Darwin-Perth,Darwin,Perth,Virgin Australia,Jan-20, 20, 20, 0, 17, 17, 3, 3,85.0,85.0,0.0
Darwin-Sydney,Darwin,Sydney,Virgin Australia,Jan-20, 25, 25, 0, 21, 18, 4, 7,84.0,72.0,0.0
Emerald-Brisbane,Emerald,Brisbane,Virgin Australia,Jan-20, 44, 44, 0, 43, 44, 1, 0,97.7,100.0,0.0
Gladstone-Brisbane,Gladstone,Brisbane,Virgin Australia,Jan-20, 71, 71, 0, 68, 64, 3, 7,95.8,90.1,0.0
Gold Coast-Adelaide,Gold Coast,Adelaide,Virgin Australia,Jan-20, 34, 34, 0, 17, 26, 17, 8,50.0,76.5,0.0
Gold Coast-Melbourne,Gold Coast,Melbourne,Virgin Australia,Jan-20, 224, 222, 2, 98, 124, 124, 98,44.1,55.9,0.9
Gold Coast-Sydney,Gold Coast,Sydney,Virgin Australia,Jan-20, 272, 269, 3, 154, 172, 115, 97,57.2,63.9,1.1
Hamilton Island-Brisbane,Hamilton Island,Brisbane,Virgin Australia,Jan-20, 31, 31, 0, 23, 23, 8, 8,74.2,74.2,0.0
Hamilton Island-Sydney,Hamilton Island,Sydney,Virgin Australia,Jan-20, 31, 31, 0, 21, 21, 10, 10,67.7,67.7,0.0
Hobart-Brisbane,Hobart,Brisbane,Virgin Australia,Jan-20, 41, 41, 0, 32, 30, 9, 11,78.0,73.2,0.0
Hobart-Melbourne,Hobart,Melbourne,Virgin Australia,Jan-20, 155, 154, 1, 106, 80, 48, 74,68.8,51.9,0.6
Hobart-Sydney,Hobart,Sydney,Virgin Australia,Jan-20, 76, 75, 1, 62, 55, 13, 20,82.7,73.3,1.3
Kalgoorlie-Perth,Kalgoorlie,Perth,Virgin Australia,Jan-20, 18, 18, 0, 16, 16, 2, 2,88.9,88.9,0.0
Karratha-Perth,Karratha,Perth,Virgin Australia,Jan-20, 2, 2, 0, 1, 1, 1, 1,50.0,50.0,0.0
Launceston-Melbourne,Launceston,Melbourne,Virgin Australia,Jan-20, 105, 105, 0, 80, 74, 25, 31,76.2,70.5,0.0
Launceston-Sydney,Launceston,Sydney,Virgin Australia,Jan-20, 32, 32, 0, 30, 27, 2, 5,93.8,84.4,0.0
Mackay-Brisbane,Mackay,Brisbane,Virgin Australia,Jan-20, 141, 141, 0, 121, 119, 20, 22,85.8,84.4,0.0
Melbourne-Adelaide,Melbourne,Adelaide,Virgin Australia,Jan-20, 257, 248, 9, 188, 165, 60, 83,75.8,66.5,3.5
Melbourne-Brisbane,Melbourne,Brisbane,Virgin Australia,Jan-20, 363, 344, 19, 263, 230, 81, 114,76.5,66.9,5.2
Melbourne-Cairns,Melbourne,Cairns,Virgin Australia,Jan-20, 44, 44, 0, 40, 38, 4, 6,90.9,86.4,0.0
Melbourne-Canberra,Melbourne,Canberra,Virgin Australia,Jan-20, 132, 126, 6, 74, 73, 52, 53,58.7,57.9,4.5
Melbourne-Darwin,Melbourne,Darwin,Virgin Australia,Jan-20, 31, 31, 0, 16, 18, 15, 13,51.6,58.1,0.0
Melbourne-Gold Coast,Melbourne,Gold Coast,Virgin Australia,Jan-20, 223, 221, 2, 169, 138, 52, 83,76.5,62.4,0.9
Melbourne-Hobart,Melbourne,Hobart,Virgin Australia,Jan-20, 155, 154, 1, 117, 112, 37, 42,76.0,72.7,0.6
Melbourne-Launceston,Melbourne,Launceston,Virgin Australia,Jan-20, 106, 106, 0, 73, 73, 33, 33,68.9,68.9,0.0
Melbourne-Mildura,Melbourne,Mildura,Virgin Australia,Jan-20, 31, 31, 0, 29, 22, 2, 9,93.5,71.0,0.0
Melbourne-Newcastle,Melbourne,Newcastle,Virgin Australia,Jan-20, 31, 31, 0, 25, 18, 6, 13,80.6,58.1,0.0
Melbourne-Perth,Melbourne,Perth,Virgin Australia,Jan-20, 155, 155, 0, 112, 106, 43, 49,72.3,68.4,0.0
Melbourne-Sunshine Coast,Melbourne,Sunshine Coast,Virgin Australia,Jan-20, 85, 85, 0, 69, 59, 16, 26,81.2,69.4,0.0
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,Jan-20, 694, 659, 35, 519, 443, 140, 216,78.8,67.2,5.0
Mildura-Melbourne,Mildura,Melbourne,Virgin Australia,Jan-20, 31, 31, 0, 22, 20, 9, 11,71.0,64.5,0.0
Mount Isa-Brisbane,Mount Isa,Brisbane,Virgin Australia,Jan-20, 15, 15, 0, 13, 10, 2, 5,86.7,66.7,0.0
Newcastle-Brisbane,Newcastle,Brisbane,Virgin Australia,Jan-20, 84, 83, 1, 66, 64, 17, 19,79.5,77.1,1.2
Newcastle-Melbourne,Newcastle,Melbourne,Virgin Australia,Jan-20, 31, 31, 0, 17, 16, 14, 15,54.8,51.6,0.0
Newman-Perth,Newman,Perth,Virgin Australia,Jan-20, 11, 11, 0, 11, 11, 0, 0,100.0,100.0,0.0
Perth-Adelaide,Perth,Adelaide,Virgin Australia,Jan-20, 43, 43, 0, 40, 40, 3, 3,93.0,93.0,0.0
Perth-Brisbane,Perth,Brisbane,Virgin Australia,Jan-20, 112, 112, 0, 91, 91, 21, 21,81.3,81.3,0.0
Perth-Broome,Perth,Broome,Virgin Australia,Jan-20, 10, 9, 1, 7, 7, 2, 2,77.8,77.8,10.0
Perth-Darwin,Perth,Darwin,Virgin Australia,Jan-20, 20, 20, 0, 17, 17, 3, 3,85.0,85.0,0.0
Perth-Kalgoorlie,Perth,Kalgoorlie,Virgin Australia,Jan-20, 18, 18, 0, 18, 18, 0, 0,100.0,100.0,0.0
Perth-Karratha,Perth,Karratha,Virgin Australia,Jan-20, 2, 2, 0, 2, 2, 0, 0,100.0,100.0,0.0
Perth-Melbourne,Perth,Melbourne,Virgin Australia,Jan-20, 157, 157, 0, 132, 129, 25, 28,84.1,82.2,0.0
Perth-Newman,Perth,Newman,Virgin Australia,Jan-20, 11, 11, 0, 10, 11, 1, 0,90.9,100.0,0.0
Perth-Port Hedland,Perth,Port Hedland,Virgin Australia,Jan-20, 7, 7, 0, 7, 7, 0, 0,100.0,100.0,0.0
Perth-Sydney,Perth,Sydney,Virgin Australia,Jan-20, 126, 126, 0, 110, 111, 16, 15,87.3,88.1,0.0
Port Hedland-Perth,Port Hedland,Perth,Virgin Australia,Jan-20, 7, 7, 0, 7, 7, 0, 0,100.0,100.0,0.0
Port Macquarie-Sydney,Port Macquarie,Sydney,Virgin Australia,Jan-20, 49, 49, 0, 21, 24, 28, 25,42.9,49.0,0.0
Proserpine-Brisbane,Proserpine,Brisbane,Virgin Australia,Jan-20, 45, 44, 1, 37, 39, 7, 5,84.1,88.6,2.2
Rockhampton-Brisbane,Rockhampton,Brisbane,Virgin Australia,Jan-20, 139, 139, 0, 113, 114, 26, 25,81.3,82.0,0.0
Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,Virgin Australia,Jan-20, 85, 85, 0, 44, 48, 41, 37,51.8,56.5,0.0
Sunshine Coast-Sydney,Sunshine Coast,Sydney,Virgin Australia,Jan-20, 63, 63, 0, 41, 38, 22, 25,65.1,60.3,0.0
Sydney-Adelaide,Sydney,Adelaide,Virgin Australia,Jan-20, 162, 161, 1, 123, 127, 38, 34,76.4,78.9,0.6
Sydney-Albury,Sydney,Albury,Virgin Australia,Jan-20, 51, 41, 10, 25, 23, 16, 18,61.0,56.1,19.6
Sydney-Ayers Rock,Sydney,Ayers Rock,Virgin Australia,Jan-20, 31, 30, 1, 27, 26, 3, 4,90.0,86.7,3.2
Sydney-Ballina,Sydney,Ballina,Virgin Australia,Jan-20, 44, 44, 0, 34, 33, 10, 11,77.3,75.0,0.0
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,Jan-20, 491, 485, 6, 331, 338, 154, 147,68.2,69.7,1.2
Sydney-Cairns,Sydney,Cairns,Virgin Australia,Jan-20, 100, 100, 0, 65, 77, 35, 23,65.0,77.0,0.0
Sydney-Canberra,Sydney,Canberra,Virgin Australia,Jan-20, 157, 150, 7, 115, 116, 35, 34,76.7,77.3,4.5
Sydney-Coffs Harbour,Sydney,Coffs Harbour,Virgin Australia,Jan-20, 31, 31, 0, 22, 23, 9, 8,71.0,74.2,0.0
Sydney-Darwin,Sydney,Darwin,Virgin Australia,Jan-20, 25, 25, 0, 20, 22, 5, 3,80.0,88.0,0.0
Sydney-Gold Coast,Sydney,Gold Coast,Virgin Australia,Jan-20, 271, 268, 3, 194, 182, 74, 86,72.4,67.9,1.1
Sydney-Hamilton Island,Sydney,Hamilton Island,Virgin Australia,Jan-20, 31, 31, 0, 23, 25, 8, 6,74.2,80.6,0.0
Sydney-Hobart,Sydney,Hobart,Virgin Australia,Jan-20, 77, 76, 1, 62, 64, 14, 12,81.6,84.2,1.3
Sydney-Launceston,Sydney,Launceston,Virgin Australia,Jan-20, 32, 32, 0, 20, 22, 12, 10,62.5,68.8,0.0
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,Jan-20, 694, 661, 33, 476, 432, 185, 229,72.0,65.4,4.8
Sydney-Perth,Sydney,Perth,Virgin Australia,Jan-20, 126, 126, 0, 84, 102, 42, 24,66.7,81.0,0.0
Sydney-Port Macquarie,Sydney,Port Macquarie,Virgin Australia,Jan-20, 49, 49, 0, 33, 34, 16, 15,67.3,69.4,0.0
Sydney-Sunshine Coast,Sydney,Sunshine Coast,Virgin Australia,Jan-20, 64, 64, 0, 47, 46, 17, 18,73.4,71.9,0.0
Sydney-Tamworth,Sydney,Tamworth,Virgin Australia,Jan-20, 51, 51, 0, 37, 38, 14, 13,72.5,74.5,0.0
Sydney-Townsville,Sydney,Townsville,Virgin Australia,Jan-20, 22, 22, 0, 17, 16, 5, 6,77.3,72.7,0.0
Tamworth-Sydney,Tamworth,Sydney,Virgin Australia,Jan-20, 50, 49, 1, 36, 34, 13, 15,73.5,69.4,2.0
Townsville-Brisbane,Townsville,Brisbane,Virgin Australia,Jan-20, 133, 132, 1, 121, 120, 11, 12,91.7,90.9,0.8
Townsville-Sydney,Townsville,Sydney,Virgin Australia,Jan-20, 22, 22, 0, 13, 16, 9, 6,59.1,72.7,0.0
All Ports-All Ports,All Ports,All Ports,Virgin Australia,Jan-20,11 457,11 240, 217,8 393,8 180,2 847,3 060,74.7,72.8,1.9
Adelaide-Alice Springs,Adelaide,Alice Springs,Virgin Australia Regional Airlines,Jan-20, 16, 16, 0, 13, 13, 3, 3,81.3,81.3,0.0
Adelaide-Melbourne,Adelaide,Melbourne,Virgin Australia Regional Airlines,Jan-20, 6, 5, 1, 3, 3, 2, 2,60.0,60.0,16.7
Adelaide-Perth,Adelaide,Perth,Virgin Australia Regional Airlines,Jan-20, 31, 30, 1, 18, 17, 12, 13,60.0,56.7,3.2
Alice Springs-Adelaide,Alice Springs,Adelaide,Virgin Australia Regional Airlines,Jan-20, 16, 16, 0, 13, 13, 3, 3,81.3,81.3,0.0
Alice Springs-Darwin,Alice Springs,Darwin,Virgin Australia Regional Airlines,Jan-20, 10, 10, 0, 8, 8, 2, 2,80.0,80.0,0.0
Broome-Perth,Broome,Perth,Virgin Australia Regional Airlines,Jan-20, 49, 46, 3, 37, 36, 9, 10,80.4,78.3,6.1
Darwin-Alice Springs,Darwin,Alice Springs,Virgin Australia Regional Airlines,Jan-20, 10, 10, 0, 9, 9, 1, 1,90.0,90.0,0.0
Darwin-Perth,Darwin,Perth,Virgin Australia Regional Airlines,Jan-20, 11, 11, 0, 9, 11, 2, 0,81.8,100.0,0.0
Kalgoorlie-Perth,Kalgoorlie,Perth,Virgin Australia Regional Airlines,Jan-20, 64, 63, 1, 54, 53, 9, 10,85.7,84.1,1.6
Karratha-Perth,Karratha,Perth,Virgin Australia Regional Airlines,Jan-20, 67, 67, 0, 56, 51, 11, 16,83.6,76.1,0.0
Melbourne-Adelaide,Melbourne,Adelaide,Virgin Australia Regional Airlines,Jan-20, 6, 5, 1, 3, 2, 2, 3,60.0,40.0,16.7
Newman-Perth,Newman,Perth,Virgin Australia Regional Airlines,Jan-20, 30, 27, 3, 23, 21, 4, 6,85.2,77.8,10.0
Perth-Adelaide,Perth,Adelaide,Virgin Australia Regional Airlines,Jan-20, 30, 30, 0, 28, 18, 2, 12,93.3,60.0,0.0
Perth-Broome,Perth,Broome,Virgin Australia Regional Airlines,Jan-20, 48, 46, 2, 38, 38, 8, 8,82.6,82.6,4.2
Perth-Darwin,Perth,Darwin,Virgin Australia Regional Airlines,Jan-20, 11, 11, 0, 11, 11, 0, 0,100.0,100.0,0.0
Perth-Kalgoorlie,Perth,Kalgoorlie,Virgin Australia Regional Airlines,Jan-20, 64, 64, 0, 57, 55, 7, 9,89.1,85.9,0.0
Perth-Karratha,Perth,Karratha,Virgin Australia Regional Airlines,Jan-20, 67, 67, 0, 61, 60, 6, 7,91.0,89.6,0.0
Perth-Newman,Perth,Newman,Virgin Australia Regional Airlines,Jan-20, 30, 27, 3, 25, 24, 2, 3,92.6,88.9,10.0
Perth-Port Hedland,Perth,Port Hedland,Virgin Australia Regional Airlines,Jan-20, 47, 47, 0, 44, 44, 3, 3,93.6,93.6,0.0
Port Hedland-Perth,Port Hedland,Perth,Virgin Australia Regional Airlines,Jan-20, 47, 46, 1, 40, 42, 6, 4,87.0,91.3,2.1
All Ports-All Ports,All Ports,All Ports,Virgin Australia Regional Airlines,Jan-20, 779, 763, 16, 647, 623, 116, 140,84.8,81.7,2.1
Adelaide-Alice Springs,Adelaide,Alice Springs,All Airlines,Jan-20, 47, 47, 0, 40, 41, 7, 6,85.1,87.2,0.0
Adelaide-Brisbane,Adelaide,Brisbane,All Airlines,Jan-20, 278, 272, 6, 231, 235, 41, 37,84.9,86.4,2.2
Adelaide-Canberra,Adelaide,Canberra,All Airlines,Jan-20, 62, 60, 2, 53, 54, 7, 6,88.3,90.0,3.2
Adelaide-Gold Coast,Adelaide,Gold Coast,All Airlines,Jan-20, 65, 64, 1, 48, 45, 16, 19,75.0,70.3,1.5
Adelaide-Melbourne,Adelaide,Melbourne,All Airlines,Jan-20, 711, 673, 38, 471, 465, 202, 208,70.0,69.1,5.3
Adelaide-Perth,Adelaide,Perth,All Airlines,Jan-20, 201, 199, 2, 152, 156, 47, 43,76.4,78.4,1.0
Adelaide-Port Lincoln,Adelaide,Port Lincoln,All Airlines,Jan-20, 279, 279, 0, 261, 260, 18, 19,93.5,93.2,0.0
Adelaide-Sydney,Adelaide,Sydney,All Airlines,Jan-20, 540, 529, 11, 422, 414, 107, 115,79.8,78.3,2.0
Albury-Sydney,Albury,Sydney,All Airlines,Jan-20, 178, 151, 27, 108, 100, 43, 51,71.5,66.2,15.2
Alice Springs-Adelaide,Alice Springs,Adelaide,All Airlines,Jan-20, 48, 48, 0, 38, 40, 10, 8,79.2,83.3,0.0
Alice Springs-Darwin,Alice Springs,Darwin,All Airlines,Jan-20, 45, 44, 1, 42, 42, 2, 2,95.5,95.5,2.2
Armidale-Sydney,Armidale,Sydney,All Airlines,Jan-20, 143, 141, 2, 96, 94, 45, 47,68.1,66.7,1.4
Ayers Rock-Sydney,Ayers Rock,Sydney,All Airlines,Jan-20, 58, 57, 1, 41, 40, 16, 17,71.9,70.2,1.7
Ballina-Sydney,Ballina,Sydney,All Airlines,Jan-20, 155, 155, 0, 94, 105, 61, 50,60.6,67.7,0.0
Brisbane-Adelaide,Brisbane,Adelaide,All Airlines,Jan-20, 278, 272, 6, 205, 234, 67, 38,75.4,86.0,2.2
Brisbane-Bundaberg,Brisbane,Bundaberg,All Airlines,Jan-20, 136, 136, 0, 126, 129, 10, 7,92.6,94.9,0.0
Brisbane-Cairns,Brisbane,Cairns,All Airlines,Jan-20, 433, 431, 2, 340, 369, 91, 62,78.9,85.6,0.5
Brisbane-Canberra,Brisbane,Canberra,All Airlines,Jan-20, 275, 263, 12, 208, 213, 55, 50,79.1,81.0,4.4
Brisbane-Darwin,Brisbane,Darwin,All Airlines,Jan-20, 106, 106, 0, 81, 83, 25, 23,76.4,78.3,0.0
Brisbane-Emerald,Brisbane,Emerald,All Airlines,Jan-20, 162, 161, 1, 147, 147, 14, 14,91.3,91.3,0.6
Brisbane-Gladstone,Brisbane,Gladstone,All Airlines,Jan-20, 201, 201, 0, 178, 177, 23, 24,88.6,88.1,0.0
Brisbane-Hamilton Island,Brisbane,Hamilton Island,All Airlines,Jan-20, 63, 62, 1, 49, 52, 13, 10,79.0,83.9,1.6
Brisbane-Hobart,Brisbane,Hobart,All Airlines,Jan-20, 85, 85, 0, 75, 78, 10, 7,88.2,91.8,0.0
Brisbane-Mackay,Brisbane,Mackay,All Airlines,Jan-20, 302, 297, 5, 238, 237, 59, 60,80.1,79.8,1.7
Brisbane-Melbourne,Brisbane,Melbourne,All Airlines,Jan-20,1 060,1 018, 42, 707, 684, 311, 334,69.4,67.2,4.0
Brisbane-Mount Isa,Brisbane,Mount Isa,All Airlines,Jan-20, 69, 69, 0, 56, 61, 13, 8,81.2,88.4,0.0
Brisbane-Newcastle,Brisbane,Newcastle,All Airlines,Jan-20, 245, 239, 6, 189, 186, 50, 53,79.1,77.8,2.4
Brisbane-Perth,Brisbane,Perth,All Airlines,Jan-20, 257, 256, 1, 160, 189, 96, 67,62.5,73.8,0.4
Brisbane-Proserpine,Brisbane,Proserpine,All Airlines,Jan-20, 88, 87, 1, 69, 74, 18, 13,79.3,85.1,1.1
Brisbane-Rockhampton,Brisbane,Rockhampton,All Airlines,Jan-20, 307, 307, 0, 247, 250, 60, 57,80.5,81.4,0.0
Brisbane-Sydney,Brisbane,Sydney,All Airlines,Jan-20,1 290,1 260, 30, 952, 908, 308, 352,75.6,72.1,2.3
Brisbane-Townsville,Brisbane,Townsville,All Airlines,Jan-20, 339, 335, 4, 258, 270, 77, 65,77.0,80.6,1.2
Broome-Perth,Broome,Perth,All Airlines,Jan-20, 146, 138, 8, 109, 112, 29, 26,79.0,81.2,5.5
Bundaberg-Brisbane,Bundaberg,Brisbane,All Airlines,Jan-20, 135, 135, 0, 125, 129, 10, 6,92.6,95.6,0.0
