Route,Departing Port,Arriving Port,Airline,Month,Sectors Scheduled,Sectors Flown,Cancellations,Departures On Time,Arrivals On Time,Departures Delayed,Arrivals Delayed,"OnTime Departures(%)","OnTime Arrivals(%)","Cancellations(%)"
Brisbane-Cairns,Brisbane,Cairns,Qantas,Dec-20, 119, 119, 0, 105, 107, 14, 12,88.2,89.9,0.0
Brisbane-Canberra,Brisbane,Canberra,Qantas,Dec-20, 24, 24, 0, 23, 23, 1, 1,95.8,95.8,0.0
Brisbane-Darwin,Brisbane,Darwin,Qantas,Dec-20, 39, 39, 0, 36, 30, 3, 9,92.3,76.9,0.0
Brisbane-Hamilton Island,Brisbane,Hamilton Island,Qantas,Dec-20, 36, 36, 0, 32, 32, 4, 4,88.9,88.9,0.0
Brisbane-Mackay,Brisbane,Mackay,Qantas,Dec-20, 79, 78, 1, 70, 71, 8, 7,89.7,91.0,1.3
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,Dec-20, 245, 236, 9, 215, 191, 21, 45,91.1,80.9,3.7
Brisbane-Mount Isa,Brisbane,Mount Isa,Qantas,Dec-20, 36, 36, 0, 31, 34, 5, 2,86.1,94.4,0.0
Brisbane-Perth,Brisbane,Perth,Qantas,Dec-20, 104, 104, 0, 88, 62, 16, 42,84.6,59.6,0.0
Brisbane-Sydney,Brisbane,Sydney,Qantas,Dec-20, 377, 286, 91, 258, 248, 28, 38,90.2,86.7,24.1
Brisbane-Townsville,Brisbane,Townsville,Qantas,Dec-20, 106, 105, 1, 94, 89, 11, 16,89.5,84.8,0.9
Broome-Perth,Broome,Perth,Qantas,Dec-20, 20, 20, 0, 17, 17, 3, 3,85.0,85.0,0.0
Cairns-Brisbane,Cairns,Brisbane,Qantas,Dec-20, 118, 118, 0, 102, 94, 16, 24,86.4,79.7,0.0
Cairns-Melbourne,Cairns,Melbourne,Qantas,Dec-20, 18, 18, 0, 14, 13, 4, 5,77.8,72.2,0.0
Cairns-Sydney,Cairns,Sydney,Qantas,Dec-20, 46, 33, 13, 31, 30, 2, 3,93.9,90.9,28.3
Canberra-Adelaide,Canberra,Adelaide,Qantas,Dec-20, 32, 30, 2, 27, 24, 3, 6,90.0,80.0,6.3
Canberra-Brisbane,Canberra,Brisbane,Qantas,Dec-20, 23, 23, 0, 20, 22, 3, 1,87.0,95.7,0.0
Canberra-Melbourne,Canberra,Melbourne,Qantas,Dec-20, 5, 4, 1, 4, 4, 0, 0,100.0,100.0,20.0
Darwin-Brisbane,Darwin,Brisbane,Qantas,Dec-20, 39, 39, 0, 28, 21, 11, 18,71.8,53.8,0.0
Darwin-Perth,Darwin,Perth,Qantas,Dec-20, 14, 14, 0, 7, 7, 7, 7,50.0,50.0,0.0
Gold Coast-Melbourne,Gold Coast,Melbourne,Qantas,Dec-20, 38, 38, 0, 32, 31, 6, 7,84.2,81.6,0.0
Gold Coast-Sydney,Gold Coast,Sydney,Qantas,Dec-20, 48, 38, 10, 35, 35, 3, 3,92.1,92.1,20.8
Hamilton Island-Brisbane,Hamilton Island,Brisbane,Qantas,Dec-20, 36, 36, 0, 35, 34, 1, 2,97.2,94.4,0.0
Hamilton Island-Sydney,Hamilton Island,Sydney,Qantas,Dec-20, 15, 15, 0, 14, 13, 1, 2,93.3,86.7,0.0
Hobart-Melbourne,Hobart,Melbourne,Qantas,Dec-20, 39, 39, 0, 34, 34, 5, 5,87.2,87.2,0.0
Hobart-Sydney,Hobart,Sydney,Qantas,Dec-20, 14, 14, 0, 11, 13, 3, 1,78.6,92.9,0.0
Kalgoorlie-Perth,Kalgoorlie,Perth,Qantas,Dec-20, 9, 9, 0, 8, 8, 1, 1,88.9,88.9,0.0
Karratha-Perth,Karratha,Perth,Qantas,Dec-20, 35, 34, 1, 29, 33, 5, 1,85.3,97.1,2.9
Mackay-Brisbane,Mackay,Brisbane,Qantas,Dec-20, 79, 77, 2, 71, 68, 6, 9,92.2,88.3,2.5
Melbourne-Adelaide,Melbourne,Adelaide,Qantas,Dec-20, 112, 99, 13, 90, 87, 9, 12,90.9,87.9,11.6
Melbourne-Brisbane,Melbourne,Brisbane,Qantas,Dec-20, 244, 236, 8, 175, 152, 61, 84,74.2,64.4,3.3
Melbourne-Cairns,Melbourne,Cairns,Qantas,Dec-20, 18, 18, 0, 14, 14, 4, 4,77.8,77.8,0.0
Melbourne-Canberra,Melbourne,Canberra,Qantas,Dec-20, 5, 4, 1, 4, 4, 0, 0,100.0,100.0,20.0
Melbourne-Gold Coast,Melbourne,Gold Coast,Qantas,Dec-20, 38, 38, 0, 31, 32, 7, 6,81.6,84.2,0.0
Melbourne-Hobart,Melbourne,Hobart,Qantas,Dec-20, 38, 38, 0, 35, 33, 3, 5,92.1,86.8,0.0
Melbourne-Perth,Melbourne,Perth,Qantas,Dec-20, 87, 86, 1, 59, 44, 27, 42,68.6,51.2,1.1
Melbourne-Sydney,Melbourne,Sydney,Qantas,Dec-20, 570, 376, 194, 349, 350, 27, 26,92.8,93.1,34.0
Mount Isa-Brisbane,Mount Isa,Brisbane,Qantas,Dec-20, 36, 36, 0, 34, 35, 2, 1,94.4,97.2,0.0
Newman-Perth,Newman,Perth,Qantas,Dec-20, 36, 35, 1, 26, 26, 9, 9,74.3,74.3,2.8
Perth-Adelaide,Perth,Adelaide,Qantas,Dec-20, 31, 26, 5, 21, 20, 5, 6,80.8,76.9,16.1
Perth-Brisbane,Perth,Brisbane,Qantas,Dec-20, 103, 103, 0, 89, 75, 14, 28,86.4,72.8,0.0
Perth-Broome,Perth,Broome,Qantas,Dec-20, 20, 20, 0, 19, 19, 1, 1,95.0,95.0,0.0
Perth-Darwin,Perth,Darwin,Qantas,Dec-20, 14, 14, 0, 13, 12, 1, 2,92.9,85.7,0.0
Perth-Kalgoorlie,Perth,Kalgoorlie,Qantas,Dec-20, 9, 9, 0, 8, 8, 1, 1,88.9,88.9,0.0
